Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
TPC,67.46,288.70,300.20,288.70,300.20,292.63,40.00,285.80,"11,705.10",5,14.40,11.50,5.04,3.98,2.52,-,-,300.20,254.20,11_03_2021
TPC,66.30,288.70,300.20,288.70,300.20,292.63,40.00,285.80,"11,705.10",5,14.40,11.50,5.04,3.98,2.52,-,-,300.20,254.20,11_05_2021
TPC,66.30,288.70,300.20,288.70,300.20,292.63,40.00,285.80,"11,705.10",5,14.40,11.50,5.04,3.98,2.52,-,-,300.20,254.20,11_06_2021
TPC,66.30,288.70,300.20,288.70,300.20,292.63,40.00,285.80,"11,705.10",5,14.40,11.50,5.04,3.98,2.52,-,-,300.20,254.20,11_07_2021
TPC,67.08,300.20,330.20,300.20,330.20,317.74,130.00,300.20,"41,305.80",18,30.00,30.00,9.99,9.99,3.77,-,-,330.20,254.20,11_08_2021
TPC,69.42,336.80,363.20,336.80,363.20,359.38,170.00,330.20,"61,095.00",17,33.00,26.40,9.99,7.84,1.05,-,-,363.20,254.20,11_09_2021
TPC,67.38,336.80,363.20,336.80,363.20,359.38,170.00,330.20,"61,095.00",17,33.00,26.40,9.99,7.84,1.05,-,-,363.20,254.20,11_10_2021
TPC,65.33,370.40,399.50,370.40,399.50,397.18,309.00,363.20,"122,727.80",31,36.30,29.10,9.99,7.86,0.58,-,-,399.50,254.20,11_11_2021
TPC,65.83,370.40,399.50,370.40,399.50,397.18,309.00,363.20,"122,727.80",31,36.30,29.10,9.99,7.86,0.58,-,-,399.50,254.20,11_12_2021
TPC,65.83,370.40,399.50,370.40,399.50,397.18,309.00,363.20,"122,727.80",31,36.30,29.10,9.99,7.86,0.58,-,-,399.50,254.20,11_13_2021
TPC,63.78,407.40,439.40,407.40,439.40,437.92,530.00,399.50,"232,095.00",53,39.90,32.00,9.99,7.85,0.34,-,-,439.40,254.20,11_14_2021
TPC,64.64,448.10,483.30,448.10,483.30,482.93,"3,302.00",439.40,"1,594,638.60",76,43.90,35.20,9.99,7.86,0.08,-,-,483.30,254.20,11_15_2021
TPC,63.15,492.90,531.60,492.90,531.60,531.14,"2,260.00",483.30,"1,200,368.00",209,48.30,38.70,9.99,7.85,0.09,-,-,531.60,254.20,11_16_2021
TPC,60.84,542.20,584.70,542.20,584.70,583.90,"1,840.00",531.60,"1,074,379.00",177,53.10,42.50,9.99,7.84,0.14,-,-,584.70,254.20,11_17_2021
TPC,57.71,596.30,643.10,596.30,643.10,636.48,"40,896.00",584.70,"26,029,588.20","2,311",58.40,46.80,9.99,7.85,1.03,-,-,643.10,254.20,11_18_2021
TPC,59.40,596.30,643.10,596.30,643.10,636.48,"40,896.00",584.70,"26,029,588.20","2,311",58.40,46.80,9.99,7.85,1.03,-,-,643.10,254.20,11_19_2021
TPC,59.40,596.30,643.10,596.30,643.10,636.48,"40,896.00",584.70,"26,029,588.20","2,311",58.40,46.80,9.99,7.85,1.03,-,-,643.10,254.20,11_20_2021
TPC,54.70,655.00,655.90,602.00,616.00,625.35,"25,206.00",643.10,"15,762,591.00","2,021",-27.10,53.90,-4.21,8.95,-1.52,-,-,655.90,254.20,11_21_2021
TPC,54.25,616.00,616.00,590.00,600.00,595.81,"14,200.00",616.00,"8,460,547.00","1,217",-16.00,26.00,-2.60,4.41,0.70,-,-,655.90,254.20,11_22_2021
TPC,49.85,588.00,595.00,585.00,588.00,588.68,"6,265.00",600.00,"3,688,080.80",531,-12.00,10.00,-2.00,1.71,-0.12,-,-,655.90,254.20,11_23_2021
TPC,45.88,590.00,599.70,554.40,575.00,571.22,"8,705.00",588.00,"4,972,471.50",433,-13.00,45.30,-2.21,8.17,0.66,-,-,655.90,254.20,11_24_2021
TPC,46.41,571.00,587.00,569.20,570.00,575.00,"7,276.00",575.00,"4,183,681.60",367,-5.00,17.80,-0.87,3.13,-0.88,-,-,655.90,254.20,11_25_2021
TPC,47.74,571.00,587.00,569.20,570.00,575.00,"7,276.00",575.00,"4,183,681.60",367,-5.00,17.80,-0.87,3.13,-0.88,-,-,655.90,254.20,11_26_2021
TPC,47.74,571.00,587.00,569.20,570.00,575.00,"7,276.00",575.00,"4,183,681.60",367,-5.00,17.80,-0.87,3.13,-0.88,-,-,655.90,254.20,11_27_2021
TPC,44.84,558.60,591.60,526.00,548.10,550.30,"9,850.00",570.00,"5,420,410.00",322,-21.90,65.60,-3.84,12.47,-0.40,-,-,655.90,254.20,11_28_2021
TPC,46.10,540.00,565.00,538.00,546.30,551.50,"5,680.00",548.10,"3,132,511.00",273,-1.80,27.00,-0.33,5.02,-0.95,-,-,655.90,254.20,11_29_2021
TPC,42.90,546.00,590.90,538.00,585.00,560.58,"5,912.00",546.30,"3,314,131.00",349,38.70,52.90,7.08,9.83,4.17,-,-,655.90,254.20,11_30_2021
TPC,43.61,585.00,595.00,556.00,570.00,569.91,"3,338.00",585.00,"1,902,363.00",173,-15.00,39.00,-2.56,7.01,0.02,-,-,655.90,254.20,12_01_2021
TPC,41.33,559.00,570.00,544.00,565.00,556.22,"8,735.00",570.00,"4,858,539.00",259,-5.00,26.00,-0.88,4.78,1.55,-,-,655.90,254.20,12_02_2021
TPC,44.91,559.00,570.00,544.00,565.00,556.22,"8,735.00",570.00,"4,858,539.00",259,-5.00,26.00,-0.88,4.78,1.55,-,-,655.90,254.20,12_03_2021
TPC,44.91,559.00,570.00,544.00,565.00,556.22,"8,735.00",570.00,"4,858,539.00",259,-5.00,26.00,-0.88,4.78,1.55,-,-,655.90,254.20,12_04_2021
TPC,44.01,570.00,570.00,529.20,549.90,544.55,"5,217.00",565.00,"2,840,928.90",238,-15.10,40.80,-2.67,7.71,0.97,-,-,655.90,254.20,12_05_2021
TPC,38.47,539.00,560.00,507.00,539.90,524.93,"6,515.00",549.90,"3,419,928.00",233,-10.00,53.00,-1.82,10.45,2.77,-,-,655.90,254.20,12_06_2021
TPC,38.90,530.00,550.00,515.00,524.90,524.73,"6,517.00",539.90,"3,419,647.10",177,-15.00,35.00,-2.78,6.80,0.03,-,-,655.90,254.20,12_07_2021
TPC,37.60,515.10,518.00,499.00,509.00,506.54,"4,730.00",524.90,"2,395,931.50",147,-15.90,19.00,-3.03,3.81,0.48,-,-,655.90,254.20,12_08_2021
TPC,32.47,500.00,527.00,500.00,507.00,504.34,"3,765.00",509.00,"1,898,855.00",114,-2.00,27.00,-0.39,5.40,0.52,-,-,655.90,254.20,12_09_2021
TPC,30.54,500.00,527.00,500.00,507.00,504.34,"3,765.00",509.00,"1,898,855.00",114,-2.00,27.00,-0.39,5.40,0.52,-,-,655.90,254.20,12_10_2021
TPC,30.54,500.00,527.00,500.00,507.00,504.34,"3,765.00",509.00,"1,898,855.00",114,-2.00,27.00,-0.39,5.40,0.52,-,-,655.90,254.20,12_11_2021
TPC,29.89,497.00,497.00,461.30,489.90,477.68,"5,500.00",507.00,"2,627,234.00",103,-17.10,35.70,-3.37,7.74,2.49,-,-,655.90,254.20,12_12_2021
TPC,29.44,480.20,489.80,445.00,445.00,453.53,"3,131.00",489.90,"1,419,992.50",115,-44.90,44.80,-9.17,10.07,-1.92,-,-,655.90,254.20,12_13_2021
TPC,24.28,445.00,489.50,437.00,489.50,479.76,"2,824.00",445.00,"1,354,829.90",79,44.50,52.50,10.00,12.01,1.99,-,-,655.90,254.20,12_14_2021
TPC,34.85,499.20,510.00,451.50,480.50,482.26,"6,477.00",489.50,"3,123,590.00",139,-9.00,58.50,-1.84,12.96,-0.37,-,-,655.90,254.20,12_15_2021
TPC,39.87,480.00,490.00,453.90,454.10,461.26,"3,080.00",480.50,"1,420,685.00",84,-26.40,36.10,-5.49,7.95,-1.58,-,-,655.90,254.20,12_16_2021
TPC,37.05,480.00,490.00,453.90,454.10,461.26,"3,080.00",480.50,"1,420,685.00",84,-26.40,36.10,-5.49,7.95,-1.58,-,-,655.90,254.20,12_17_2021
TPC,37.05,480.00,490.00,453.90,454.10,461.26,"3,080.00",480.50,"1,420,685.00",84,-26.40,36.10,-5.49,7.95,-1.58,-,-,655.90,254.20,12_18_2021
TPC,37.05,480.00,490.00,453.90,454.10,461.26,"3,080.00",480.50,"1,420,685.00",84,-26.40,36.10,-5.49,7.95,-1.58,-,-,655.90,254.20,12_19_2021
TPC,34.36,453.90,453.90,420.00,430.00,436.07,"3,160.00",454.10,"1,377,966.00",93,-24.10,33.90,-5.31,8.07,-1.41,-,-,655.90,254.20,12_20_2021
TPC,37.93,430.00,438.60,415.10,416.00,424.13,"7,301.00",430.00,"3,096,587.60",120,-14.00,23.50,-3.26,5.66,-1.95,-,-,655.90,254.20,12_21_2021
TPC,40.52,424.00,452.00,424.00,443.00,433.10,"6,721.00",416.00,"2,910,865.90",109,27.00,28.00,6.49,6.60,2.23,-,-,655.90,254.20,12_22_2021
TPC,43.02,440.00,459.00,425.40,430.00,437.67,"4,101.00",443.00,"1,794,864.70",109,-13.00,33.60,-2.93,7.90,-1.78,-,-,655.90,254.20,12_23_2021
TPC,44.08,440.00,459.00,425.40,430.00,437.67,"4,101.00",443.00,"1,794,864.70",109,-13.00,33.60,-2.93,7.90,-1.78,-,-,655.90,254.20,12_24_2021
