Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
TRH,49.80,406.90,428.00,400.00,408.00,413.24,"30,210.00",399.00,"12,483,906.20",234,9.00,28.00,2.26,7.00,-1.28,359.68,347.53,468.00,208.00,09_01_2021
TRH,65.42,387.80,387.80,377.00,378.00,379.95,"1,982.00",387.70,"753,063.40",26,-9.70,10.80,-2.50,2.86,-0.52,381.14,360.65,468.00,246.00,11_03_2021
TRH,54.61,387.80,387.80,377.00,378.00,379.95,"1,982.00",387.70,"753,063.40",26,-9.70,10.80,-2.50,2.86,-0.52,381.14,360.65,468.00,246.00,11_05_2021
TRH,54.61,387.80,387.80,377.00,378.00,379.95,"1,982.00",387.70,"753,063.40",26,-9.70,10.80,-2.50,2.86,-0.52,381.14,360.65,468.00,246.00,11_06_2021
TRH,54.61,387.80,387.80,377.00,378.00,379.95,"1,982.00",387.70,"753,063.40",26,-9.70,10.80,-2.50,2.86,-0.52,381.14,360.65,468.00,246.00,11_07_2021
TRH,55.40,378.00,385.00,375.10,375.10,378.49,"2,069.00",378.00,"783,089.50",28,-2.90,9.90,-0.77,2.64,-0.90,381.87,360.74,468.00,247.00,11_08_2021
TRH,45.40,370.00,370.00,362.00,368.00,365.52,"7,102.00",375.10,"2,595,934.00",56,-7.10,8.00,-1.89,2.21,0.67,382.56,360.79,468.00,251.00,11_09_2021
TRH,47.38,370.00,370.00,362.00,368.00,365.52,"7,102.00",375.10,"2,595,934.00",56,-7.10,8.00,-1.89,2.21,0.67,382.56,360.79,468.00,251.00,11_10_2021
TRH,45.33,362.00,369.00,356.00,358.00,359.48,"5,495.00",368.00,"1,975,352.00",44,-10.00,13.00,-2.72,3.65,-0.41,383.16,360.73,468.00,263.00,11_11_2021
TRH,44.01,362.00,369.00,356.00,358.00,359.48,"5,495.00",368.00,"1,975,352.00",44,-10.00,13.00,-2.72,3.65,-0.41,383.16,360.73,468.00,263.00,11_12_2021
TRH,44.01,362.00,369.00,356.00,358.00,359.48,"5,495.00",368.00,"1,975,352.00",44,-10.00,13.00,-2.72,3.65,-0.41,383.16,360.73,468.00,263.00,11_13_2021
TRH,41.96,358.00,365.00,353.80,358.00,359.84,"2,910.00",358.00,"1,047,124.10",24,0.00,11.20,0.00,3.17,-0.51,383.77,360.68,468.00,263.00,11_14_2021
TRH,40.13,365.00,365.10,358.00,361.00,360.64,"5,737.00",358.00,"2,068,985.10",40,3.00,7.10,0.84,1.98,0.10,384.41,360.71,468.00,263.00,11_15_2021
TRH,44.24,363.00,369.00,363.00,365.00,366.04,"4,325.00",361.00,"1,583,136.00",31,4.00,6.00,1.11,1.65,-0.29,385.09,360.75,468.00,263.00,11_16_2021
