Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
UIC,44.13,769.00,780.00,747.00,751.00,761.56,"30,996.00",762.00,"23,605,322.90",246,-11.00,33.00,-1.44,4.42,-1.41,732.46,678.05,890.00,408.00,09_01_2021
UIC,65.67,784.00,788.00,752.70,760.00,761.54,"30,411.00",774.00,"23,159,329.00",191,-14.00,35.30,-1.81,4.69,-0.20,721.87,706.24,890.00,418.00,11_03_2021
UIC,60.36,784.00,788.00,752.70,760.00,761.54,"30,411.00",774.00,"23,159,329.00",191,-14.00,35.30,-1.81,4.69,-0.20,721.87,706.24,890.00,418.00,11_05_2021
UIC,60.36,784.00,788.00,752.70,760.00,761.54,"30,411.00",774.00,"23,159,329.00",191,-14.00,35.30,-1.81,4.69,-0.20,721.87,706.24,890.00,418.00,11_06_2021
UIC,60.36,784.00,788.00,752.70,760.00,761.54,"30,411.00",774.00,"23,159,329.00",191,-14.00,35.30,-1.81,4.69,-0.20,721.87,706.24,890.00,418.00,11_07_2021
UIC,61.15,775.00,775.20,741.10,751.00,747.98,"18,575.00",760.00,"13,893,709.70",111,-9.00,34.10,-1.18,4.60,0.40,722.47,706.59,890.00,418.00,11_08_2021
UIC,55.31,766.00,766.00,695.00,709.00,717.36,"60,586.00",751.00,"43,461,717.90",277,-42.00,71.00,-5.59,10.22,-1.18,722.70,706.49,890.00,420.00,11_09_2021
UIC,51.60,766.00,766.00,695.00,709.00,717.36,"60,586.00",751.00,"43,461,717.90",277,-42.00,71.00,-5.59,10.22,-1.18,722.70,706.49,890.00,420.00,11_10_2021
UIC,49.55,696.10,719.00,690.00,708.20,706.15,"26,538.00",709.00,"18,739,779.00",206,-0.80,29.00,-0.11,4.20,0.29,722.90,706.47,890.00,432.00,11_11_2021
UIC,45.85,696.10,719.00,690.00,708.20,706.15,"26,538.00",709.00,"18,739,779.00",206,-0.80,29.00,-0.11,4.20,0.29,722.90,706.47,890.00,432.00,11_12_2021
UIC,45.85,696.10,719.00,690.00,708.20,706.15,"26,538.00",709.00,"18,739,779.00",206,-0.80,29.00,-0.11,4.20,0.29,722.90,706.47,890.00,432.00,11_13_2021
UIC,43.80,707.00,718.00,694.10,709.00,705.28,"21,683.00",708.20,"15,292,530.10",128,0.80,23.90,0.11,3.44,0.53,723.02,706.53,890.00,432.00,11_14_2021
UIC,43.53,720.00,734.00,700.00,712.00,711.39,"17,040.00",709.00,"12,122,002.50",98,3.00,34.00,0.42,4.86,0.09,723.20,706.67,890.00,432.00,11_15_2021
UIC,42.96,710.00,750.00,710.00,748.00,728.63,"28,276.00",712.00,"20,602,790.60",187,36.00,40.00,5.06,5.63,2.59,723.70,707.11,890.00,432.00,11_16_2021
UIC,52.11,755.00,755.00,726.50,729.00,744.75,"47,691.00",748.00,"35,517,902.50",177,-19.00,28.50,-2.54,3.92,-2.16,723.82,707.52,890.00,432.00,11_17_2021
UIC,53.26,718.00,749.00,715.00,725.00,731.94,"47,645.00",729.00,"34,873,172.50",201,-4.00,34.00,-0.55,4.76,-0.96,723.96,707.76,890.00,432.00,11_18_2021
UIC,53.06,718.00,749.00,715.00,725.00,731.94,"47,645.00",729.00,"34,873,172.50",201,-4.00,34.00,-0.55,4.76,-0.96,723.96,707.76,890.00,432.00,11_19_2021
UIC,53.06,718.00,749.00,715.00,725.00,731.94,"47,645.00",729.00,"34,873,172.50",201,-4.00,34.00,-0.55,4.76,-0.96,723.96,707.76,890.00,432.00,11_20_2021
