Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
ULBSL,0.00,"1,211.00","1,259.90","1,211.00","1,259.90","1,229.28",40.00,"1,211.00","49,171.00",4,48.90,48.90,4.04,4.04,2.43,-,-,"1,259.90","1,211.00",05_27_2022
ULBSL,37.04,"1,211.00","1,259.90","1,211.00","1,259.90","1,229.28",40.00,"1,211.00","49,171.00",4,48.90,48.90,4.04,4.04,2.43,-,-,"1,259.90","1,211.00",05_28_2022
ULBSL,37.04,"1,211.00","1,259.90","1,211.00","1,259.90","1,229.28",40.00,"1,211.00","49,171.00",4,48.90,48.90,4.04,4.04,2.43,-,-,"1,259.90","1,211.00",05_29_2022
ULBSL,36.51,"1,257.70","1,363.60","1,257.70","1,363.60","1,296.73",70.00,"1,259.90","90,771.00",8,103.70,105.90,8.23,8.42,4.90,-,-,"1,363.60","1,211.00",05_30_2022
ULBSL,45.55,"1,390.80","1,475.80","1,390.80","1,475.80","1,425.27",50.00,"1,363.60","71,263.60",8,112.20,85.00,8.23,6.11,3.42,-,-,"1,475.80","1,211.00",05_31_2022
ULBSL,44.65,"1,505.30","1,535.40","1,505.30","1,535.40","1,517.47",30.00,"1,475.80","45,524.00",4,59.60,30.10,4.04,2.00,1.17,-,-,"1,535.40","1,211.00",06_01_2022
ULBSL,43.96,"1,566.10","1,597.40","1,566.10","1,597.40","1,581.75",20.00,"1,535.40","31,635.00",2,62.00,31.30,4.04,2.00,0.98,-,-,"1,597.40","1,211.00",06_02_2022
ULBSL,42.57,"1,603.30","1,757.10","1,603.30","1,757.10","1,683.38",60.00,"1,597.40","101,003.00",6,159.70,153.80,10.00,9.59,4.20,-,-,"1,757.10","1,211.00",06_03_2022
ULBSL,46.56,"1,603.30","1,757.10","1,603.30","1,757.10","1,683.38",60.00,"1,597.40","101,003.00",6,159.70,153.80,10.00,9.59,4.20,-,-,"1,757.10","1,211.00",06_04_2022
ULBSL,46.56,"1,603.30","1,757.10","1,603.30","1,757.10","1,683.38",60.00,"1,597.40","101,003.00",6,159.70,153.80,10.00,9.59,4.20,-,-,"1,757.10","1,211.00",06_05_2022
ULBSL,46.13,"1,792.20","1,932.80","1,792.20","1,932.80","1,906.28",130.00,"1,757.10","247,816.00",13,175.70,140.60,10.00,7.85,1.37,-,-,"1,932.80","1,211.00",06_06_2022
ULBSL,44.72,"1,971.40","2,126.00","1,971.40","2,126.00","2,106.06",190.00,"1,932.80","400,152.00",19,193.20,154.60,10.00,7.84,0.94,-,-,"2,126.00","1,211.00",06_07_2022
ULBSL,44.43,"2,168.50","2,338.60","2,168.50","2,338.60","2,292.27",90.00,"2,126.00","206,304.00",9,212.60,170.10,10.00,7.84,1.98,-,-,"2,338.60","1,211.00",06_08_2022
ULBSL,44.04,"2,385.30","2,572.40","2,385.30","2,572.40","2,543.74",160.00,"2,338.60","406,999.00",16,233.80,187.10,10.00,7.84,1.11,-,-,"2,572.40","1,211.00",06_09_2022
ULBSL,44.87,"2,572.00","2,829.60","2,572.00","2,829.60","2,812.63","1,857.00","2,572.40","5,223,049.20",155,257.20,257.60,10.00,10.02,0.60,-,-,"2,829.60","1,211.00",06_10_2022
ULBSL,43.57,"2,572.00","2,829.60","2,572.00","2,829.60","2,812.63","1,857.00","2,572.40","5,223,049.20",155,257.20,257.60,10.00,10.02,0.60,-,-,"2,829.60","1,211.00",06_11_2022
ULBSL,43.57,"2,572.00","2,829.60","2,572.00","2,829.60","2,812.63","1,857.00","2,572.40","5,223,049.20",155,257.20,257.60,10.00,10.02,0.60,-,-,"2,829.60","1,211.00",06_12_2022
ULBSL,43.29,"2,886.10","3,112.50","2,700.00","2,702.00","2,809.77","20,060.00","2,829.60","56,364,035.00","1,819",-127.60,412.50,-4.51,15.28,-3.99,-,-,"3,112.50","1,211.00",06_13_2022
ULBSL,41.85,"2,740.00","2,740.00","2,560.00","2,564.00","2,602.50","11,051.00","2,702.00","28,760,198.20",973,-138.00,180.00,-5.11,7.03,-1.50,-,-,"3,112.50","1,211.00",06_14_2022
