Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
ULI,51.00,730.00,738.00,723.00,732.00,731.52,"24,180.00",736.00,"17,688,207.00","1,621",-4.00,15.00,-0.54,2.07,0.07,-,-,940.10,342.00,09_01_2021
ULI,60.67,686.00,700.00,678.00,686.00,688.68,"15,505.00",698.00,"10,677,987.00",479,-12.00,22.00,-1.72,3.24,-0.39,-,-,940.10,342.00,11_03_2021
ULI,58.04,686.00,700.00,678.00,686.00,688.68,"15,505.00",698.00,"10,677,987.00",479,-12.00,22.00,-1.72,3.24,-0.39,-,-,940.10,342.00,11_05_2021
ULI,58.04,686.00,700.00,678.00,686.00,688.68,"15,505.00",698.00,"10,677,987.00",479,-12.00,22.00,-1.72,3.24,-0.39,-,-,940.10,342.00,11_06_2021
ULI,58.04,686.00,700.00,678.00,686.00,688.68,"15,505.00",698.00,"10,677,987.00",479,-12.00,22.00,-1.72,3.24,-0.39,-,-,940.10,342.00,11_07_2021
ULI,58.83,675.10,677.00,665.00,665.00,668.40,"13,959.00",686.00,"9,330,223.90",537,-21.00,12.00,-3.06,1.80,-0.51,-,-,940.10,342.00,11_08_2021
ULI,53.93,655.00,665.00,628.00,628.00,638.54,"24,584.00",665.00,"15,697,894.00",830,-37.00,37.00,-5.56,5.89,-1.68,-,-,940.10,342.00,11_09_2021
ULI,50.48,655.00,665.00,628.00,628.00,638.54,"24,584.00",665.00,"15,697,894.00",830,-37.00,37.00,-5.56,5.89,-1.68,-,-,940.10,342.00,11_10_2021
ULI,48.43,615.50,630.00,607.00,618.00,621.00,"19,554.00",628.00,"12,143,119.00",813,-10.00,23.00,-1.59,3.79,-0.49,-,-,940.10,342.00,11_11_2021
ULI,46.69,615.50,630.00,607.00,618.00,621.00,"19,554.00",628.00,"12,143,119.00",813,-10.00,23.00,-1.59,3.79,-0.49,-,-,940.10,342.00,11_12_2021
ULI,46.69,615.50,630.00,607.00,618.00,621.00,"19,554.00",628.00,"12,143,119.00",813,-10.00,23.00,-1.59,3.79,-0.49,-,-,940.10,342.00,11_13_2021
ULI,44.64,610.00,633.00,610.00,617.50,619.84,"13,330.00",618.00,"8,262,494.40",907,-0.50,23.00,-0.08,3.77,-0.38,-,-,940.10,342.00,11_14_2021
ULI,43.37,620.00,660.00,610.00,655.00,633.43,"46,911.00",617.50,"29,715,067.00","1,182",37.50,50.00,6.07,8.20,3.29,-,-,940.10,342.00,11_15_2021
ULI,51.47,655.00,708.00,645.00,695.10,690.95,"71,194.00",655.00,"49,191,436.10","2,081",40.10,63.00,6.12,9.77,0.60,-,-,940.10,342.00,11_16_2021
ULI,62.46,682.10,723.00,677.00,686.00,691.94,"34,977.00",695.10,"24,202,120.30","1,200",-9.10,46.00,-1.31,6.79,-0.87,-,-,940.10,342.00,11_17_2021
ULI,61.20,685.00,695.00,661.00,681.00,682.25,"45,740.00",686.00,"31,206,195.00","1,217",-5.00,34.00,-0.73,5.14,-0.18,-,-,940.10,342.00,11_18_2021
ULI,61.35,685.00,695.00,661.00,681.00,682.25,"45,740.00",686.00,"31,206,195.00","1,217",-5.00,34.00,-0.73,5.14,-0.18,-,-,940.10,342.00,11_19_2021
ULI,61.35,685.00,695.00,661.00,681.00,682.25,"45,740.00",686.00,"31,206,195.00","1,217",-5.00,34.00,-0.73,5.14,-0.18,-,-,940.10,342.00,11_20_2021
ULI,56.65,681.00,690.00,675.00,684.00,682.06,"34,148.00",681.00,"23,290,910.00","1,329",3.00,15.00,0.44,2.22,0.28,-,-,940.10,342.00,11_21_2021
ULI,50.01,671.00,703.00,671.00,688.90,688.03,"46,919.00",684.00,"32,281,657.20","1,357",4.90,32.00,0.72,4.77,0.13,-,-,940.10,342.00,11_22_2021
ULI,48.39,678.00,691.00,660.00,662.00,671.79,"23,864.00",688.90,"16,031,487.40",798,-26.90,31.00,-3.90,4.70,-1.48,-,-,940.10,342.00,11_23_2021
ULI,43.20,651.00,672.00,648.80,668.00,661.54,"33,655.00",662.00,"22,264,045.50",907,6.00,23.20,0.91,3.58,0.97,-,-,940.10,342.00,11_24_2021
ULI,47.52,655.00,681.00,651.00,670.00,663.94,"17,213.00",668.00,"11,428,331.70",746,2.00,30.00,0.30,4.61,0.91,-,-,940.10,342.00,11_25_2021
ULI,43.62,655.00,681.00,651.00,670.00,663.94,"17,213.00",668.00,"11,428,331.70",746,2.00,30.00,0.30,4.61,0.91,-,-,940.10,342.00,11_26_2021
