Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
UMHL,57.31,525.00,580.00,525.00,562.00,557.64,"540,533.00",530.00,"301,423,072.90","2,372",32.00,55.00,6.04,10.48,0.78,331.70,275.01,622.00,105.00,09_01_2021
UMHL,61.78,524.90,530.40,491.10,498.00,505.80,"275,791.00",514.70,"139,494,194.00",983,-16.70,39.30,-3.24,8.00,-1.57,435.51,350.91,646.60,135.00,11_03_2021
UMHL,54.65,524.90,530.40,491.10,498.00,505.80,"275,791.00",514.70,"139,494,194.00",983,-16.70,39.30,-3.24,8.00,-1.57,435.51,350.91,646.60,135.00,11_05_2021
UMHL,54.65,524.90,530.40,491.10,498.00,505.80,"275,791.00",514.70,"139,494,194.00",983,-16.70,39.30,-3.24,8.00,-1.57,435.51,350.91,646.60,135.00,11_06_2021
UMHL,54.65,524.90,530.40,491.10,498.00,505.80,"275,791.00",514.70,"139,494,194.00",983,-16.70,39.30,-3.24,8.00,-1.57,435.51,350.91,646.60,135.00,11_07_2021
UMHL,55.44,507.00,510.00,475.00,480.00,488.47,"288,330.00",498.00,"140,840,425.50","1,051",-18.00,35.00,-3.61,7.37,-1.76,437.53,352.62,646.60,135.00,11_08_2021
UMHL,56.73,480.00,489.60,446.00,457.00,462.65,"350,335.00",480.00,"162,084,004.70","1,608",-23.00,43.60,-4.79,9.78,-1.24,439.43,354.17,646.60,135.00,11_09_2021
UMHL,55.04,480.00,489.60,446.00,457.00,462.65,"350,335.00",480.00,"162,084,004.70","1,608",-23.00,43.60,-4.79,9.78,-1.24,439.43,354.17,646.60,135.00,11_10_2021
UMHL,52.99,447.90,475.00,432.10,450.00,458.20,"193,247.00",457.00,"88,544,836.00",994,-7.00,42.90,-1.53,9.93,-1.82,441.25,355.72,646.60,135.00,11_11_2021
UMHL,41.20,447.90,475.00,432.10,450.00,458.20,"193,247.00",457.00,"88,544,836.00",994,-7.00,42.90,-1.53,9.93,-1.82,441.25,355.72,646.60,135.00,11_12_2021
