Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
UMRH,42.98,656.00,694.00,654.00,660.00,663.46,"10,216.00",655.00,"6,777,877.60",179,5.00,40.00,0.76,6.12,-0.52,448.93,-,811.00,200.00,09_01_2021
UMRH,68.99,612.00,649.30,588.10,611.00,608.02,"6,605.00",600.00,"4,015,941.50",97,11.00,61.20,1.83,10.41,0.49,544.43,453.42,811.00,200.00,11_03_2021
UMRH,67.54,612.00,649.30,588.10,611.00,608.02,"6,605.00",600.00,"4,015,941.50",97,11.00,61.20,1.83,10.41,0.49,544.43,453.42,811.00,200.00,11_05_2021
UMRH,67.54,612.00,649.30,588.10,611.00,608.02,"6,605.00",600.00,"4,015,941.50",97,11.00,61.20,1.83,10.41,0.49,544.43,453.42,811.00,200.00,11_06_2021
UMRH,67.54,612.00,649.30,588.10,611.00,608.02,"6,605.00",600.00,"4,015,941.50",97,11.00,61.20,1.83,10.41,0.49,544.43,453.42,811.00,200.00,11_07_2021
UMRH,68.33,622.00,645.90,588.00,592.00,596.79,"2,710.00",611.00,"1,617,306.00",54,-19.00,57.90,-3.11,9.85,-0.81,546.86,455.36,811.00,200.00,11_08_2021
UMRH,53.68,580.20,602.00,536.90,580.00,561.40,"16,405.00",592.00,"9,209,847.40",242,-12.00,65.10,-2.03,12.13,3.21,549.28,457.19,811.00,200.00,11_09_2021
UMRH,53.57,580.20,602.00,536.90,580.00,561.40,"16,405.00",592.00,"9,209,847.40",242,-12.00,65.10,-2.03,12.13,3.21,549.28,457.19,811.00,200.00,11_10_2021
UMRH,51.52,570.00,581.40,549.00,560.00,564.13,"12,314.00",580.00,"6,946,676.50",222,-20.00,32.40,-3.45,5.90,-0.74,551.48,458.96,811.00,200.00,11_11_2021
UMRH,47.54,570.00,581.40,549.00,560.00,564.13,"12,314.00",580.00,"6,946,676.50",222,-20.00,32.40,-3.45,5.90,-0.74,551.48,458.96,811.00,200.00,11_12_2021
UMRH,47.54,570.00,581.40,549.00,560.00,564.13,"12,314.00",580.00,"6,946,676.50",222,-20.00,32.40,-3.45,5.90,-0.74,551.48,458.96,811.00,200.00,11_13_2021
UMRH,45.49,552.00,580.00,552.00,569.10,567.86,"9,161.00",560.00,"5,202,180.80",212,9.10,28.00,1.63,5.07,0.22,553.77,460.80,811.00,200.00,11_14_2021
UMRH,48.43,580.40,603.80,572.00,580.00,578.40,"15,335.00",569.10,"8,869,838.50",202,10.90,31.80,1.92,5.56,0.28,556.06,462.68,811.00,200.00,11_15_2021
UMRH,54.18,591.60,608.00,583.00,608.00,595.40,"21,130.00",580.00,"12,580,698.20",192,28.00,25.00,4.83,4.29,2.07,558.48,464.71,811.00,200.00,11_16_2021
UMRH,60.49,620.00,657.90,598.00,598.00,612.45,"8,875.00",608.00,"5,435,461.90",132,-10.00,59.90,-1.64,10.02,-2.42,560.86,466.74,811.00,200.00,11_17_2021
UMRH,58.70,590.00,633.00,580.10,590.00,604.07,"17,303.00",598.00,"10,452,302.00",197,-8.00,52.90,-1.34,9.12,-2.39,563.07,468.67,811.00,200.00,11_18_2021
UMRH,58.58,590.00,633.00,580.10,590.00,604.07,"17,303.00",598.00,"10,452,302.00",197,-8.00,52.90,-1.34,9.12,-2.39,563.07,468.67,811.00,200.00,11_19_2021
UMRH,58.58,590.00,633.00,580.10,590.00,604.07,"17,303.00",598.00,"10,452,302.00",197,-8.00,52.90,-1.34,9.12,-2.39,563.07,468.67,811.00,200.00,11_20_2021
UMRH,53.88,583.10,606.90,583.10,600.00,593.88,"6,240.00",590.00,"3,705,833.00",99,10.00,23.80,1.69,4.08,1.02,565.09,470.70,811.00,200.00,11_21_2021
UMRH,45.78,612.00,624.20,590.00,599.00,603.20,"9,793.00",600.00,"5,907,158.60",126,-1.00,34.20,-0.17,5.80,-0.70,566.88,472.72,811.00,200.00,11_22_2021
UMRH,45.34,590.00,613.00,585.00,585.10,595.76,"16,109.00",599.00,"9,597,056.80",128,-13.90,28.00,-2.32,4.79,-1.82,568.23,474.64,811.00,200.00,11_23_2021
UMRH,47.50,575.00,598.00,573.40,590.00,585.48,"8,752.00",585.10,"5,124,135.00",81,4.90,24.60,0.84,4.29,0.77,569.27,476.60,811.00,200.00,11_24_2021
UMRH,46.90,579.00,600.10,579.00,587.00,587.22,"1,160.00",590.00,"681,173.00",45,-3.00,21.10,-0.51,3.64,-0.04,569.90,478.47,811.00,200.00,11_25_2021
UMRH,38.75,579.00,600.10,579.00,587.00,587.22,"1,160.00",590.00,"681,173.00",45,-3.00,21.10,-0.51,3.64,-0.04,569.90,478.47,811.00,200.00,11_26_2021
UMRH,38.75,579.00,600.10,579.00,587.00,587.22,"1,160.00",590.00,"681,173.00",45,-3.00,21.10,-0.51,3.64,-0.04,569.90,478.47,811.00,200.00,11_27_2021
UMRH,35.85,575.30,588.00,558.80,568.00,571.08,"5,965.00",587.00,"3,406,509.00",92,-19.00,29.20,-3.24,5.23,-0.54,570.30,480.23,811.00,200.00,11_28_2021
UMRH,37.98,576.00,576.00,539.00,555.00,555.64,"17,144.00",568.00,"9,525,853.00",99,-13.00,37.00,-2.29,6.86,-0.11,570.42,481.98,811.00,200.00,11_29_2021
UMRH,42.57,566.10,591.00,547.00,591.00,561.62,"5,127.00",555.00,"2,879,435.00",72,36.00,44.00,6.49,8.04,4.97,571.01,483.93,811.00,200.00,11_30_2021
UMRH,41.03,580.00,614.00,569.00,592.00,591.57,"7,680.00",591.00,"4,543,259.00",69,1.00,45.00,0.17,7.91,0.07,571.84,485.94,811.00,200.00,12_01_2021
