Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
UNHPL,48.84,474.00,493.00,460.00,474.00,477.13,"46,304.00",465.00,"22,093,201.10",396,9.00,33.00,1.94,7.17,-0.66,285.41,228.57,612.00,60.00,09_01_2021
UNHPL,69.92,431.00,431.00,412.00,415.00,419.76,"18,517.00",423.00,"7,772,717.70",152,-8.00,19.00,-1.89,4.61,-1.15,370.44,289.41,612.00,102.00,11_03_2021
UNHPL,59.29,431.00,431.00,412.00,415.00,419.76,"18,517.00",423.00,"7,772,717.70",152,-8.00,19.00,-1.89,4.61,-1.15,370.44,289.41,612.00,102.00,11_05_2021
UNHPL,59.29,431.00,431.00,412.00,415.00,419.76,"18,517.00",423.00,"7,772,717.70",152,-8.00,19.00,-1.89,4.61,-1.15,370.44,289.41,612.00,102.00,11_06_2021
UNHPL,59.29,431.00,431.00,412.00,415.00,419.76,"18,517.00",423.00,"7,772,717.70",152,-8.00,19.00,-1.89,4.61,-1.15,370.44,289.41,612.00,102.00,11_07_2021
UNHPL,60.08,410.10,423.00,409.00,409.00,415.05,"11,808.00",415.00,"4,900,957.50",112,-6.00,14.00,-1.45,3.42,-1.48,372.32,291.04,612.00,102.00,11_08_2021
UNHPL,52.84,401.00,406.00,373.00,391.00,386.13,"44,491.00",409.00,"17,179,406.70",365,-18.00,33.00,-4.40,8.85,1.24,374.18,292.57,612.00,102.00,11_09_2021
UNHPL,55.31,401.00,406.00,373.00,391.00,386.13,"44,491.00",409.00,"17,179,406.70",365,-18.00,33.00,-4.40,8.85,1.24,374.18,292.57,612.00,102.00,11_10_2021
UNHPL,53.26,383.20,390.00,355.00,367.00,371.72,"39,692.00",391.00,"14,754,378.50",324,-24.00,35.00,-6.14,9.86,-1.29,375.81,293.95,612.00,102.00,11_11_2021
UNHPL,51.67,383.20,390.00,355.00,367.00,371.72,"39,692.00",391.00,"14,754,378.50",324,-24.00,35.00,-6.14,9.86,-1.29,375.81,293.95,612.00,102.00,11_12_2021
UNHPL,51.67,383.20,390.00,355.00,367.00,371.72,"39,692.00",391.00,"14,754,378.50",324,-24.00,35.00,-6.14,9.86,-1.29,375.81,293.95,612.00,102.00,11_13_2021
UNHPL,49.62,360.00,381.00,353.00,368.00,371.95,"19,773.00",367.00,"7,354,475.00",161,1.00,28.00,0.27,7.93,-1.07,377.37,295.33,612.00,102.00,11_14_2021
UNHPL,46.69,375.00,396.70,375.00,385.00,383.82,"39,148.00",368.00,"15,025,926.50",281,17.00,21.70,4.62,5.79,0.31,378.92,296.82,612.00,102.00,11_15_2021
UNHPL,50.97,392.00,412.00,389.00,408.20,399.59,"37,684.00",385.00,"15,058,262.00",254,23.20,23.00,6.03,5.91,2.11,380.50,298.44,612.00,102.00,11_16_2021
UNHPL,56.66,416.30,432.00,400.00,401.00,416.46,"26,012.00",408.20,"10,832,974.10",245,-7.20,32.00,-1.76,8.00,-3.86,382.12,300.03,612.00,102.00,11_17_2021
UNHPL,58.42,401.00,415.00,394.00,402.90,405.89,"52,750.00",401.00,"21,410,767.00",455,1.90,21.00,0.47,5.33,-0.74,383.67,301.63,612.00,102.00,11_18_2021
UNHPL,61.17,401.00,415.00,394.00,402.90,405.89,"52,750.00",401.00,"21,410,767.00",455,1.90,21.00,0.47,5.33,-0.74,383.67,301.63,612.00,102.00,11_19_2021
UNHPL,61.17,401.00,415.00,394.00,402.90,405.89,"52,750.00",401.00,"21,410,767.00",455,1.90,21.00,0.47,5.33,-0.74,383.67,301.63,612.00,102.00,11_20_2021
UNHPL,56.47,394.90,419.00,394.90,412.00,410.14,"30,942.00",402.90,"12,690,578.70",260,9.10,24.10,2.26,6.10,0.45,385.13,303.27,612.00,102.00,11_21_2021
