Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
UNLB,0.00,989.40,989.40,989.40,989.40,989.43,20.00,0.00,"19,788.50",3,989.40,0.00,0.00,0.00,0.00,0.00,0.00,989.40,989.40,02_28_2023
UNLB,37.35,989.40,989.40,989.40,989.40,"1,009.05",10.00,989.40,"10,090.50",2,0.00,0.00,0.00,0.00,-1.99,0.00,0.00,989.40,989.40,03_01_2023
UNLB,36.62,"1,009.10","1,029.20","1,009.10","1,029.20","1,024.74",45.00,989.40,"46,113.50",7,39.80,20.10,4.02,1.99,0.43,0.00,0.00,"1,029.20",989.40,03_02_2023
UNLB,46.71,"1,009.10","1,029.20","1,009.10","1,029.20","1,024.74",45.00,989.40,"46,113.50",7,39.80,20.10,4.02,1.99,0.43,0.00,0.00,"1,029.20",989.40,03_03_2023
UNLB,46.71,"1,009.10","1,029.20","1,009.10","1,029.20","1,024.74",45.00,989.40,"46,113.50",7,39.80,20.10,4.02,1.99,0.43,0.00,0.00,"1,029.20",989.40,03_04_2023
UNLB,46.71,"1,049.70","1,070.60","1,049.70","1,070.60","1,069.89",145.00,"1,029.20","155,134.00",10,41.40,20.90,4.02,1.99,0.07,0.00,0.00,"1,070.60",989.40,03_05_2023
UNLB,48.12,"1,049.70","1,070.60","1,049.70","1,070.60","1,069.89",145.00,"1,029.20","155,134.00",10,41.40,20.90,4.02,1.99,0.07,0.00,0.00,"1,070.60",989.40,03_06_2023
UNLB,46.81,"1,092.00","1,092.00","1,092.00","1,092.00","1,087.14",35.00,"1,070.60","38,050.00",6,21.40,0.00,2.00,0.00,0.44,0.00,0.00,"1,092.00",989.40,03_07_2023
UNLB,43.64,"1,092.00","1,092.00","1,092.00","1,092.00","1,087.14",35.00,"1,070.60","38,050.00",6,21.40,0.00,2.00,0.00,0.44,0.00,0.00,"1,092.00",989.40,03_08_2023
UNLB,42.08,"1,113.80","1,113.80","1,113.80","1,113.80","1,110.90",20.00,"1,092.00","22,218.00",3,21.80,0.00,2.00,0.00,0.26,0.00,0.00,"1,113.80",989.40,03_09_2023
UNLB,43.79,"1,113.80","1,113.80","1,113.80","1,113.80","1,110.90",20.00,"1,092.00","22,218.00",3,21.80,0.00,2.00,0.00,0.26,0.00,0.00,"1,113.80",989.40,03_10_2023
UNLB,43.79,"1,113.80","1,113.80","1,113.80","1,113.80","1,110.90",20.00,"1,092.00","22,218.00",3,21.80,0.00,2.00,0.00,0.26,0.00,0.00,"1,113.80",989.40,03_11_2023
UNLB,43.79,"1,136.00","1,158.70","1,136.00","1,158.70","1,156.14",35.00,"1,113.80","40,465.00",5,44.90,22.70,4.03,2.00,0.22,0.00,0.00,"1,158.70",989.40,03_12_2023
UNLB,42.74,"1,181.80","1,205.40","1,181.80","1,205.40","1,187.55",60.00,"1,158.70","71,253.00",4,46.70,23.60,4.03,2.00,1.48,0.00,0.00,"1,205.40",989.40,03_13_2023
UNLB,40.73,"1,229.50","1,325.90","1,229.50","1,325.90","1,294.51",155.00,"1,205.40","200,648.50",13,120.50,96.40,10.00,7.84,2.37,0.00,0.00,"1,325.90",989.40,03_14_2023
UNLB,45.80,"1,352.40","1,458.40","1,352.40","1,458.40","1,440.98",150.00,"1,325.90","216,147.50",11,132.50,106.00,9.99,7.84,1.19,0.00,0.00,"1,458.40",989.40,03_15_2023
UNLB,46.72,"1,487.50","1,604.20","1,487.50","1,604.20","1,592.53",347.00,"1,458.40","552,607.40",22,145.80,116.70,10.00,7.85,0.73,0.00,0.00,"1,604.20",989.40,03_16_2023
UNLB,50.87,"1,487.50","1,604.20","1,487.50","1,604.20","1,592.53",347.00,"1,458.40","552,607.40",22,145.80,116.70,10.00,7.85,0.73,0.00,0.00,"1,604.20",989.40,03_17_2023
UNLB,50.87,"1,487.50","1,604.20","1,487.50","1,604.20","1,592.53",347.00,"1,458.40","552,607.40",22,145.80,116.70,10.00,7.85,0.73,0.00,0.00,"1,604.20",989.40,03_18_2023
UNLB,50.87,"1,636.20","1,764.60","1,636.20","1,764.60","1,758.11",900.00,"1,604.20","1,582,295.00",43,160.40,128.40,10.00,7.85,0.37,0.00,0.00,"1,764.60",989.40,03_19_2023
UNLB,47.73,"1,799.80","1,941.00","1,799.80","1,941.00","1,934.26",621.00,"1,764.60","1,201,176.50",42,176.40,141.20,10.00,7.85,0.35,0.00,0.00,"1,941.00",989.40,03_20_2023
UNLB,46.03,"1,799.80","1,941.00","1,799.80","1,941.00","1,934.26",621.00,"1,764.60","1,201,176.50",42,176.40,141.20,10.00,7.85,0.35,0.00,0.00,"1,941.00",989.40,03_21_2023
UNLB,47.46,"1,979.80","2,135.10","1,940.40","1,945.00","2,081.37","2,879.00","1,941.00","5,992,275.50",136,4.00,194.70,0.21,10.03,-7.01,0.00,0.00,"2,135.10",989.40,03_22_2023
UNLB,43.01,"1,910.00","1,911.00","1,783.00","1,800.00","1,837.07","1,677.00","1,945.00","3,080,761.60",62,-145.00,128.00,-7.46,7.18,-2.06,0.00,0.00,"2,135.10",989.40,03_23_2023
UNLB,38.10,"1,910.00","1,911.00","1,783.00","1,800.00","1,837.07","1,677.00","1,945.00","3,080,761.60",62,-145.00,128.00,-7.46,7.18,-2.06,0.00,0.00,"2,135.10",989.40,03_24_2023
UNLB,38.10,"1,910.00","1,911.00","1,783.00","1,800.00","1,837.07","1,677.00","1,945.00","3,080,761.60",62,-145.00,128.00,-7.46,7.18,-2.06,0.00,0.00,"2,135.10",989.40,03_25_2023
UNLB,38.10,"1,764.00","1,764.00","1,620.00","1,620.00","1,632.16","1,050.00","1,800.00","1,713,766.00",48,-180.00,144.00,-10.00,8.89,-0.75,0.00,0.00,"2,135.10",989.40,03_26_2023
UNLB,29.75,"1,587.60","1,587.60","1,465.20","1,587.60","1,515.12",512.00,"1,620.00","775,743.40",42,-32.40,122.40,-2.00,8.35,4.57,0.00,0.00,"2,135.10",989.40,03_27_2023
UNLB,30.05,"1,580.00","1,720.90","1,570.00","1,700.00","1,647.59",315.00,"1,587.60","518,992.00",28,112.40,150.90,7.08,9.61,3.08,0.00,0.00,"2,135.10",989.40,03_28_2023
UNLB,30.97,"1,700.00","1,700.00","1,600.40","1,664.00","1,642.76",406.00,"1,700.00","666,962.00",31,-36.00,99.60,-2.12,6.22,1.28,0.00,0.00,"2,135.10",989.40,03_29_2023
UNLB,30.66,"1,670.00","1,688.00","1,619.00","1,620.00","1,636.07",350.00,"1,664.00","572,625.00",18,-44.00,69.00,-2.64,4.26,-0.99,0.00,0.00,"2,135.10",989.40,03_30_2023
UNLB,29.61,"1,670.00","1,688.00","1,619.00","1,620.00","1,636.07",350.00,"1,664.00","572,625.00",18,-44.00,69.00,-2.64,4.26,-0.99,0.00,0.00,"2,135.10",989.40,03_31_2023
