Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
UPCL,49.51,503.00,522.00,492.00,503.00,508.01,"165,488.00",503.00,"84,069,897.00",963,0.00,30.00,0.00,6.10,-1.00,291.11,238.99,635.00,76.00,09_01_2021
UPCL,68.93,460.00,464.00,443.00,444.00,451.27,"83,657.00",455.00,"37,752,256.20",499,-11.00,21.00,-2.42,4.74,-1.64,378.48,303.20,635.00,116.00,11_03_2021
UPCL,62.22,460.00,464.00,443.00,444.00,451.27,"83,657.00",455.00,"37,752,256.20",499,-11.00,21.00,-2.42,4.74,-1.64,378.48,303.20,635.00,116.00,11_05_2021
UPCL,62.22,460.00,464.00,443.00,444.00,451.27,"83,657.00",455.00,"37,752,256.20",499,-11.00,21.00,-2.42,4.74,-1.64,378.48,303.20,635.00,116.00,11_06_2021
UPCL,62.22,460.00,464.00,443.00,444.00,451.27,"83,657.00",455.00,"37,752,256.20",499,-11.00,21.00,-2.42,4.74,-1.64,378.48,303.20,635.00,116.00,11_07_2021
UPCL,63.01,452.00,461.00,430.00,439.00,438.11,"51,717.00",444.00,"22,657,708.10",346,-5.00,31.00,-1.13,7.21,0.20,380.48,304.88,635.00,116.00,11_08_2021
UPCL,52.21,434.00,434.10,401.80,409.00,416.67,"161,480.00",439.00,"67,283,554.90",871,-30.00,32.30,-6.83,8.04,-1.87,382.31,306.39,635.00,116.00,11_09_2021
UPCL,54.12,434.00,434.10,401.80,409.00,416.67,"161,480.00",439.00,"67,283,554.90",871,-30.00,32.30,-6.83,8.04,-1.87,382.31,306.39,635.00,116.00,11_10_2021
UPCL,52.07,401.00,407.00,387.00,390.00,395.20,"126,873.00",409.00,"50,140,290.00",800,-19.00,20.00,-4.65,5.17,-1.33,383.96,307.78,635.00,116.00,11_11_2021
UPCL,50.08,401.00,407.00,387.00,390.00,395.20,"126,873.00",409.00,"50,140,290.00",800,-19.00,20.00,-4.65,5.17,-1.33,383.96,307.78,635.00,116.00,11_12_2021
