Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
UPPER,46.81,740.00,750.00,725.00,729.00,736.09,"151,321.00",732.00,"111,386,109.90","1,124",-3.00,25.00,-0.41,3.45,-0.97,773.85,674.63,962.50,231.00,09_01_2021
UPPER,64.27,631.00,643.00,615.00,622.00,623.50,"75,569.00",619.00,"47,117,354.20",613,3.00,28.00,0.48,4.55,-0.24,725.86,717.04,962.50,290.00,11_03_2021
UPPER,65.42,631.00,643.00,615.00,622.00,623.50,"75,569.00",619.00,"47,117,354.20",613,3.00,28.00,0.48,4.55,-0.24,725.86,717.04,962.50,290.00,11_05_2021
UPPER,65.42,631.00,643.00,615.00,622.00,623.50,"75,569.00",619.00,"47,117,354.20",613,3.00,28.00,0.48,4.55,-0.24,725.86,717.04,962.50,290.00,11_06_2021
UPPER,65.42,631.00,643.00,615.00,622.00,623.50,"75,569.00",619.00,"47,117,354.20",613,3.00,28.00,0.48,4.55,-0.24,725.86,717.04,962.50,290.00,11_07_2021
UPPER,66.21,625.00,630.00,611.20,615.00,620.01,"40,577.00",622.00,"25,158,044.40",380,-7.00,18.80,-1.13,3.08,-0.81,724.13,717.72,962.50,290.00,11_08_2021
UPPER,48.33,615.00,616.00,585.00,592.00,596.03,"91,101.00",615.00,"54,299,336.20",885,-23.00,31.00,-3.74,5.30,-0.68,722.23,718.24,962.50,290.00,11_09_2021
UPPER,49.43,615.00,616.00,585.00,592.00,596.03,"91,101.00",615.00,"54,299,336.20",885,-23.00,31.00,-3.74,5.30,-0.68,722.23,718.24,962.50,290.00,11_10_2021
UPPER,47.38,603.60,603.60,570.00,577.00,580.23,"60,730.00",592.00,"35,237,475.50",696,-15.00,33.60,-2.53,5.89,-0.56,720.21,718.69,962.50,290.00,11_11_2021
UPPER,44.82,603.60,603.60,570.00,577.00,580.23,"60,730.00",592.00,"35,237,475.50",696,-15.00,33.60,-2.53,5.89,-0.56,720.21,718.69,962.50,290.00,11_12_2021
UPPER,44.82,603.60,603.60,570.00,577.00,580.23,"60,730.00",592.00,"35,237,475.50",696,-15.00,33.60,-2.53,5.89,-0.56,720.21,718.69,962.50,290.00,11_13_2021
UPPER,42.77,575.00,585.00,570.00,575.00,578.39,"47,504.00",577.00,"27,475,994.00",528,-2.00,15.00,-0.35,2.63,-0.59,718.18,719.16,962.50,290.00,11_14_2021
UPPER,42.62,575.00,592.00,575.00,583.00,586.09,"35,728.00",575.00,"20,939,902.20",395,8.00,17.00,1.39,2.96,-0.53,716.25,719.69,962.50,290.00,11_15_2021
UPPER,42.11,585.00,641.30,585.00,641.30,641.25,"56,418.00",583.00,"36,178,066.90",511,58.30,56.30,10.00,9.62,0.01,714.80,720.57,962.50,290.00,11_16_2021
UPPER,60.08,654.10,705.40,654.10,705.40,705.16,"95,049.00",641.30,"67,025,148.50",626,64.10,51.30,10.00,7.84,0.03,713.85,721.84,962.50,290.00,11_17_2021
UPPER,63.13,719.50,748.00,672.10,679.00,696.23,"567,392.00",705.40,"395,033,175.50","3,805",-26.40,75.90,-3.74,11.29,-2.54,712.43,722.88,962.50,290.00,11_18_2021
UPPER,66.69,719.50,748.00,672.10,679.00,696.23,"567,392.00",705.40,"395,033,175.50","3,805",-26.40,75.90,-3.74,11.29,-2.54,712.43,722.88,962.50,290.00,11_19_2021
UPPER,66.69,719.50,748.00,672.10,679.00,696.23,"567,392.00",705.40,"395,033,175.50","3,805",-26.40,75.90,-3.74,11.29,-2.54,712.43,722.88,962.50,290.00,11_20_2021
UPPER,61.99,690.00,702.00,670.40,692.00,690.09,"221,042.00",679.00,"152,538,668.50","1,495",13.00,31.60,1.91,4.71,0.28,711.20,724.04,962.50,290.00,11_21_2021
UPPER,61.39,692.00,714.00,690.00,700.00,704.56,"151,848.00",692.00,"106,985,512.00","1,281",8.00,24.00,1.16,3.48,-0.65,710.14,725.27,962.50,290.00,11_22_2021
UPPER,54.53,700.00,704.00,676.20,686.00,687.78,"103,747.00",700.00,"71,354,961.20",944,-14.00,27.80,-2.00,4.11,-0.26,709.07,726.36,962.50,290.00,11_23_2021
UPPER,48.56,686.00,695.00,670.00,688.00,682.34,"105,151.00",686.00,"71,748,546.20",840,2.00,25.00,0.29,3.73,0.82,707.89,727.19,962.50,290.00,11_24_2021
UPPER,48.86,695.00,695.00,679.00,679.10,684.50,"71,470.00",688.00,"48,920,881.00",544,-8.90,16.00,-1.29,2.36,-0.79,706.67,727.67,962.50,293.00,11_25_2021
UPPER,44.22,695.00,695.00,679.00,679.10,684.50,"71,470.00",688.00,"48,920,881.00",544,-8.90,16.00,-1.29,2.36,-0.79,706.67,727.67,962.50,293.00,11_26_2021
UPPER,44.22,695.00,695.00,679.00,679.10,684.50,"71,470.00",688.00,"48,920,881.00",544,-8.90,16.00,-1.29,2.36,-0.79,706.67,727.67,962.50,293.00,11_27_2021
UPPER,41.32,668.00,678.00,641.90,649.00,658.93,"191,620.00",679.10,"126,263,981.70","1,227",-30.10,36.10,-4.43,5.62,-1.53,705.16,728.11,962.50,294.00,11_28_2021
UPPER,44.13,648.90,667.00,640.00,653.00,651.54,"96,812.00",649.00,"63,077,198.10",816,4.00,27.00,0.62,4.22,0.22,703.77,728.61,962.50,294.00,11_29_2021
UPPER,43.80,654.00,665.00,638.00,645.00,648.00,"78,725.00",653.00,"51,013,818.70",611,-8.00,27.00,-1.23,4.23,-0.47,702.42,729.12,962.50,295.00,11_30_2021
UPPER,42.06,657.00,665.00,640.00,642.00,647.48,"54,816.00",645.00,"35,491,996.40",460,-3.00,25.00,-0.47,3.91,-0.85,701.20,729.72,962.50,326.00,12_01_2021
UPPER,32.52,650.00,650.00,627.00,628.00,634.32,"74,865.00",642.00,"47,488,575.30",629,-14.00,23.00,-2.18,3.67,-1.01,699.91,730.18,962.50,350.00,12_02_2021
UPPER,32.53,650.00,650.00,627.00,628.00,634.32,"74,865.00",642.00,"47,488,575.30",629,-14.00,23.00,-2.18,3.67,-1.01,699.91,730.18,962.50,350.00,12_03_2021
UPPER,32.53,650.00,650.00,627.00,628.00,634.32,"74,865.00",642.00,"47,488,575.30",629,-14.00,23.00,-2.18,3.67,-1.01,699.91,730.18,962.50,350.00,12_04_2021
UPPER,31.63,625.00,626.00,599.00,602.50,606.94,"106,303.00",628.00,"64,519,393.00",887,-25.50,27.00,-4.06,4.51,-0.74,698.38,730.58,962.50,350.00,12_05_2021
UPPER,31.71,590.50,634.00,581.00,625.00,604.12,"188,049.00",602.50,"113,604,822.60","1,217",22.50,53.00,3.73,9.12,3.34,697.11,731.16,962.50,350.00,12_06_2021
UPPER,34.65,637.00,648.00,608.00,610.00,628.79,"86,639.00",625.00,"54,477,757.00",689,-15.00,40.00,-2.40,6.58,-3.08,695.82,731.49,962.50,350.00,12_07_2021
UPPER,30.62,621.00,621.00,590.00,597.00,601.92,"67,266.00",610.00,"40,488,805.10",629,-13.00,31.00,-2.13,5.25,-0.82,694.16,731.61,962.50,350.00,12_08_2021
UPPER,28.04,598.20,609.00,588.00,598.00,598.46,"78,599.00",597.00,"47,038,574.00",702,1.00,21.00,0.17,3.57,-0.08,692.59,731.62,962.50,350.00,12_09_2021
UPPER,36.88,598.20,609.00,588.00,598.00,598.46,"78,599.00",597.00,"47,038,574.00",702,1.00,21.00,0.17,3.57,-0.08,692.59,731.62,962.50,350.00,12_10_2021
