Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
USHEC,0.00,324.60,357.00,324.60,357.00,356.21,"3,870.00",324.60,"1,378,546.70",399,32.40,32.40,9.98,9.98,0.22,-,-,357.00,324.60,08_17_2022
USHEC,36.44,364.10,392.70,364.10,392.70,386.50,"84,038.00",357.00,"32,481,041.60","4,845",35.70,28.60,10.00,7.85,1.58,-,-,392.70,324.60,08_18_2022
USHEC,53.59,364.10,392.70,364.10,392.70,386.50,"84,038.00",357.00,"32,481,041.60","4,845",35.70,28.60,10.00,7.85,1.58,-,-,392.70,324.60,08_19_2022
USHEC,53.59,364.10,392.70,364.10,392.70,386.50,"84,038.00",357.00,"32,481,041.60","4,845",35.70,28.60,10.00,7.85,1.58,-,-,392.70,324.60,08_20_2022
USHEC,53.59,400.50,431.90,390.10,393.00,400.59,"41,125.00",392.70,"16,474,088.80","2,871",0.30,41.80,0.08,10.72,-1.93,-,-,431.90,324.60,08_21_2022
USHEC,-,393.00,399.90,376.10,388.60,383.46,"41,656.00",393.00,"15,973,215.90","2,093",-4.40,23.80,-1.12,6.33,1.32,-,-,431.90,324.60,08_22_2022
USHEC,51.84,396.30,399.80,375.40,388.50,385.93,"22,730.00",388.60,"8,772,279.50","1,456",-0.10,24.40,-0.03,6.50,0.66,-,-,431.90,324.60,08_23_2022
USHEC,47.52,381.10,414.00,381.00,404.00,400.33,"36,702.00",388.50,"14,693,053.60","1,776",15.50,33.00,3.99,8.66,0.91,-,-,431.90,324.60,08_24_2022
USHEC,41.72,398.00,412.00,392.00,392.00,401.11,"20,925.00",404.00,"8,393,321.00","1,080",-12.00,20.00,-2.97,5.10,-2.33,-,-,431.90,324.60,08_25_2022
USHEC,35.73,387.00,389.30,378.40,389.30,383.24,"18,080.00",392.00,"6,929,032.00",526,-2.70,10.90,-0.69,2.88,1.56,-,-,431.90,324.60,08_26_2022
USHEC,35.17,387.00,389.30,378.40,389.30,383.24,"18,080.00",392.00,"6,929,032.00",526,-2.70,10.90,-0.69,2.88,1.56,-,-,431.90,324.60,08_27_2022
