Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
USLB,45.63,"2,108.00","2,192.00","2,108.00","2,141.00","2,152.99","1,023.00","2,149.20","2,202,511.40",26,-8.20,84.00,-0.38,3.98,-0.56,"2,305.52","2,109.79","2,868.00",767.00,09_01_2021
USLB,56.86,"2,447.00","2,447.00","2,371.00","2,430.00","2,406.83","1,921.00","2,415.90","4,623,519.00",37,14.10,76.00,0.58,3.21,0.95,"2,198.55","2,240.34","2,868.00","1,097.00",11_03_2021
USLB,53.71,"2,447.00","2,447.00","2,371.00","2,430.00","2,406.83","1,921.00","2,415.90","4,623,519.00",37,14.10,76.00,0.58,3.21,0.95,"2,198.55","2,240.34","2,868.00","1,097.00",11_05_2021
USLB,53.71,"2,447.00","2,447.00","2,371.00","2,430.00","2,406.83","1,921.00","2,415.90","4,623,519.00",37,14.10,76.00,0.58,3.21,0.95,"2,198.55","2,240.34","2,868.00","1,097.00",11_06_2021
USLB,53.71,"2,447.00","2,447.00","2,371.00","2,430.00","2,406.83","1,921.00","2,415.90","4,623,519.00",37,14.10,76.00,0.58,3.21,0.95,"2,198.55","2,240.34","2,868.00","1,097.00",11_07_2021
USLB,54.49,"2,383.10","2,425.00","2,382.00","2,404.00","2,400.58",730.00,"2,430.00","1,752,419.90",30,-26.00,43.00,-1.07,1.81,0.14,"2,197.26","2,241.94","2,868.00","1,097.00",11_08_2021
USLB,50.80,"2,356.00","2,373.00","2,310.00","2,338.00","2,334.37","2,625.00","2,404.00","6,127,723.30",78,-66.00,63.00,-2.75,2.73,0.16,"2,195.92","2,242.00","2,868.00","1,097.00",11_09_2021
USLB,51.12,"2,356.00","2,373.00","2,310.00","2,338.00","2,334.37","2,625.00","2,404.00","6,127,723.30",78,-66.00,63.00,-2.75,2.73,0.16,"2,195.92","2,242.00","2,868.00","1,097.00",11_10_2021
USLB,49.07,"2,291.40","2,333.00","2,256.00","2,256.00","2,283.36","2,253.00","2,338.00","5,144,414.50",56,-82.00,77.00,-3.51,3.41,-1.21,"2,194.89","2,240.32","2,868.00","1,097.00",11_11_2021
USLB,45.98,"2,291.40","2,333.00","2,256.00","2,256.00","2,283.36","2,253.00","2,338.00","5,144,414.50",56,-82.00,77.00,-3.51,3.41,-1.21,"2,194.89","2,240.32","2,868.00","1,097.00",11_12_2021
USLB,45.98,"2,291.40","2,333.00","2,256.00","2,256.00","2,283.36","2,253.00","2,338.00","5,144,414.50",56,-82.00,77.00,-3.51,3.41,-1.21,"2,194.89","2,240.32","2,868.00","1,097.00",11_13_2021
USLB,43.93,"2,256.00","2,256.00","2,171.00","2,256.00","2,215.47","3,345.00","2,256.00","7,410,750.40",57,0.00,85.00,0.00,3.92,1.80,"2,193.35","2,239.55","2,868.00","1,097.00",11_14_2021
USLB,47.09,"2,217.00","2,295.00","2,215.00","2,295.00","2,249.10","1,021.00","2,256.00","2,296,334.70",25,39.00,80.00,1.73,3.61,2.00,"2,191.81","2,239.30","2,868.00","1,097.00",11_15_2021
USLB,41.85,"2,252.00","2,338.00","2,240.00","2,300.00","2,276.28","3,002.00","2,295.00","6,833,403.80",47,5.00,98.00,0.22,4.38,1.03,"2,190.19","2,239.49","2,868.00","1,097.00",11_16_2021
USLB,47.65,"2,267.50","2,297.00","2,265.00","2,297.00","2,270.24","1,108.00","2,300.00","2,515,431.20",42,-3.00,32.00,-0.13,1.41,1.16,"2,188.59","2,239.66","2,868.00","1,097.00",11_17_2021
USLB,48.53,"2,255.00","2,270.00","2,209.90","2,270.00","2,239.89","1,353.00","2,297.00","3,030,570.90",48,-27.00,60.10,-1.18,2.72,1.33,"2,186.69","2,240.33","2,868.00","1,097.00",11_18_2021
USLB,47.40,"2,255.00","2,270.00","2,209.90","2,270.00","2,239.89","1,353.00","2,297.00","3,030,570.90",48,-27.00,60.10,-1.18,2.72,1.33,"2,186.69","2,240.33","2,868.00","1,097.00",11_19_2021
USLB,47.40,"2,255.00","2,270.00","2,209.90","2,270.00","2,239.89","1,353.00","2,297.00","3,030,570.90",48,-27.00,60.10,-1.18,2.72,1.33,"2,186.69","2,240.33","2,868.00","1,097.00",11_20_2021
USLB,42.70,"2,275.00","2,300.00","2,224.60","2,270.00","2,261.74","1,737.00","2,270.00","3,928,650.80",43,0.00,75.40,0.00,3.39,0.36,"2,184.79","2,239.80","2,868.00","1,097.00",11_21_2021
USLB,43.24,"2,270.10","2,285.00","2,245.00","2,281.00","2,267.05",619.00,"2,270.00","1,403,303.20",25,11.00,40.00,0.48,1.78,0.61,"2,182.95","2,239.59","2,868.00","1,097.00",11_22_2021
USLB,40.56,"2,241.00","2,245.00","2,240.00","2,240.00","2,241.87",696.00,"2,281.00","1,560,339.80",16,-41.00,5.00,-1.80,0.22,-0.08,"2,180.99","2,238.95","2,868.00","1,097.00",11_23_2021
USLB,39.34,"2,195.50","2,200.00","2,140.30","2,190.00","2,163.91","1,877.00","2,240.00","4,061,663.00",57,-50.00,59.70,-2.23,2.79,1.19,"2,178.66","2,237.98","2,868.00","1,097.00",11_24_2021
USLB,44.30,"2,170.00","2,170.00","2,130.00","2,133.00","2,151.31","1,386.00","2,190.00","2,981,718.90",50,-57.00,40.00,-2.60,1.88,-0.86,"2,176.10","2,236.81","2,868.00","1,097.00",11_25_2021
USLB,42.10,"2,170.00","2,170.00","2,130.00","2,133.00","2,151.31","1,386.00","2,190.00","2,981,718.90",50,-57.00,40.00,-2.60,1.88,-0.86,"2,176.10","2,236.81","2,868.00","1,097.00",11_26_2021
USLB,42.10,"2,170.00","2,170.00","2,130.00","2,133.00","2,151.31","1,386.00","2,190.00","2,981,718.90",50,-57.00,40.00,-2.60,1.88,-0.86,"2,176.10","2,236.81","2,868.00","1,097.00",11_27_2021
USLB,39.20,"2,091.00","2,100.10","2,020.00","2,020.20","2,056.25","1,700.00","2,133.00","3,495,625.20",57,-112.80,80.10,-5.29,3.97,-1.78,"2,172.77","2,235.55","2,868.00","1,105.00",11_28_2021
USLB,40.10,"2,023.00","2,023.00","1,940.30","1,940.30","1,975.26","1,968.00","2,020.20","3,887,302.60",57,-79.90,82.70,-3.96,4.26,-1.80,"2,169.13","2,233.21","2,868.00","1,105.00",11_29_2021
USLB,39.93,"1,979.00","1,979.00","1,930.00","1,931.10","1,945.07",671.00,"1,940.30","1,305,141.20",17,-9.20,49.00,-0.47,2.54,-0.72,"2,165.93","2,231.08","2,868.00","1,105.00",11_30_2021
USLB,34.74,"1,968.00","2,009.00","1,900.00","1,960.00","1,926.46","3,054.00","1,931.10","5,883,408.90",69,28.90,109.00,1.50,5.74,1.71,"2,163.36","2,229.41","2,868.00","1,105.00",12_01_2021
USLB,47.49,"1,940.00","1,940.00","1,885.00","1,885.00","1,900.79","2,071.00","1,960.00","3,936,536.00",61,-75.00,55.00,-3.83,2.92,-0.84,"2,160.32","2,227.79","2,868.00","1,105.00",12_02_2021
USLB,46.83,"1,940.00","1,940.00","1,885.00","1,885.00","1,900.79","2,071.00","1,960.00","3,936,536.00",61,-75.00,55.00,-3.83,2.92,-0.84,"2,160.32","2,227.79","2,868.00","1,105.00",12_03_2021
USLB,46.83,"1,940.00","1,940.00","1,885.00","1,885.00","1,900.79","2,071.00","1,960.00","3,936,536.00",61,-75.00,55.00,-3.83,2.92,-0.84,"2,160.32","2,227.79","2,868.00","1,105.00",12_04_2021
USLB,45.93,"1,885.00","1,885.00","1,780.00","1,815.60","1,811.42","1,662.00","1,885.00","3,010,573.30",56,-69.40,105.00,-3.68,5.90,0.23,"2,156.75","2,225.55","2,868.00","1,105.00",12_05_2021
USLB,43.63,"1,815.00","1,815.00","1,746.00","1,813.00","1,778.07","4,257.00","1,815.60","7,569,223.40",80,-2.60,69.00,-0.14,3.95,1.93,"2,152.81","2,223.93","2,868.00","1,105.00",12_06_2021
USLB,49.63,"1,820.00","1,860.00","1,737.20","1,737.20","1,815.56","1,941.00","1,813.00","3,524,005.00",47,-75.80,122.80,-4.18,7.07,-4.51,"2,148.30","2,222.11","2,868.00","1,105.00",12_07_2021
USLB,42.93,"1,771.00","1,771.00","1,721.00","1,721.00","1,742.23","1,205.00","1,737.20","2,099,387.20",27,-16.20,50.00,-0.93,2.91,-1.23,"2,143.28","2,219.63","2,868.00","1,105.00",12_08_2021
USLB,40.44,"1,750.00","1,755.40","1,702.00","1,745.00","1,732.17","1,471.00","1,721.00","2,548,021.80",30,24.00,53.40,1.39,3.14,0.74,"2,138.42","2,217.05","2,868.00","1,105.00",12_09_2021
USLB,42.90,"1,750.00","1,755.40","1,702.00","1,745.00","1,732.17","1,471.00","1,721.00","2,548,021.80",30,24.00,53.40,1.39,3.14,0.74,"2,138.42","2,217.05","2,868.00","1,105.00",12_10_2021
USLB,42.90,"1,750.00","1,755.40","1,702.00","1,745.00","1,732.17","1,471.00","1,721.00","2,548,021.80",30,24.00,53.40,1.39,3.14,0.74,"2,138.42","2,217.05","2,868.00","1,105.00",12_11_2021
USLB,42.25,"1,712.00","1,730.00","1,645.00","1,645.00","1,666.75","2,595.00","1,745.00","4,325,204.10",55,-100.00,85.00,-5.73,5.17,-1.32,"2,132.89","2,214.17","2,868.00","1,124.00",12_12_2021
USLB,40.19,"1,616.00","1,654.00","1,581.10","1,592.00","1,604.25","1,615.00","1,645.00","2,590,865.20",39,-53.00,72.90,-3.22,4.61,-0.77,"2,127.20","2,211.10","2,868.00","1,124.00",12_13_2021
USLB,40.28,"1,623.00","1,751.20","1,617.00","1,751.20","1,661.63",348.00,"1,592.00","578,247.00",15,159.20,134.20,10.00,8.30,5.11,"2,123.20","2,209.31","2,868.00","1,161.00",12_14_2021
USLB,43.57,"1,786.20","1,855.00","1,695.50","1,700.00","1,749.95","2,923.00","1,751.20","5,115,103.50",63,-51.20,159.50,-2.92,9.41,-2.94,"2,118.67","2,207.16","2,868.00","1,202.00",12_15_2021
USLB,46.13,"1,734.00","1,734.00","1,625.00","1,625.00","1,665.55","1,967.00","1,700.00","3,276,135.30",48,-75.00,109.00,-4.41,6.71,-2.50,"2,113.67","2,204.63","2,868.00","1,202.00",12_16_2021
USLB,45.46,"1,734.00","1,734.00","1,625.00","1,625.00","1,665.55","1,967.00","1,700.00","3,276,135.30",48,-75.00,109.00,-4.41,6.71,-2.50,"2,113.67","2,204.63","2,868.00","1,202.00",12_17_2021
USLB,45.46,"1,734.00","1,734.00","1,625.00","1,625.00","1,665.55","1,967.00","1,700.00","3,276,135.30",48,-75.00,109.00,-4.41,6.71,-2.50,"2,113.67","2,204.63","2,868.00","1,202.00",12_18_2021
USLB,45.46,"1,734.00","1,734.00","1,625.00","1,625.00","1,665.55","1,967.00","1,700.00","3,276,135.30",48,-75.00,109.00,-4.41,6.71,-2.50,"2,113.67","2,204.63","2,868.00","1,202.00",12_19_2021
USLB,42.78,"1,655.00","1,700.00","1,652.00","1,670.00","1,673.98","1,387.00","1,625.00","2,321,810.00",37,45.00,48.00,2.77,2.91,-0.24,"2,109.16","2,201.92","2,868.00","1,202.00",12_20_2021
USLB,45.04,"1,685.00","1,738.00","1,680.00","1,738.00","1,708.17","1,291.00","1,670.00","2,205,253.00",36,68.00,58.00,4.07,3.45,1.72,"2,104.77","2,199.52","2,868.00","1,202.00",12_21_2021
USLB,45.23,"1,721.00","1,837.00","1,721.00","1,837.00","1,811.51","1,947.00","1,738.00","3,527,019.60",48,99.00,116.00,5.70,6.74,1.39,"2,101.16","2,196.89","2,868.00","1,270.00",12_22_2021
USLB,51.83,"1,839.00","1,887.00","1,813.00","1,855.00","1,843.36","3,199.00","1,837.00","5,896,913.00",52,18.00,74.00,0.98,4.08,0.63,"2,098.07","2,194.58","2,868.00","1,270.00",12_23_2021
USLB,56.25,"1,839.00","1,887.00","1,813.00","1,855.00","1,843.36","3,199.00","1,837.00","5,896,913.00",52,18.00,74.00,0.98,4.08,0.63,"2,098.07","2,194.58","2,868.00","1,270.00",12_24_2021
USLB,56.25,"1,839.00","1,887.00","1,813.00","1,855.00","1,843.36","3,199.00","1,837.00","5,896,913.00",52,18.00,74.00,0.98,4.08,0.63,"2,098.07","2,194.58","2,868.00","1,270.00",12_25_2021
USLB,54.63,"1,892.10","1,929.80","1,891.00","1,919.00","1,913.45","1,707.00","1,855.00","3,266,259.00",45,64.00,38.80,3.45,2.05,0.29,"2,095.96","2,191.99","2,868.00","1,270.00",12_26_2021
USLB,51.64,"1,925.00","1,957.30","1,882.00","1,908.00","1,903.89","1,661.00","1,919.00","3,162,364.60",42,-11.00,75.30,-0.57,4.00,0.22,"2,093.71","2,188.73","2,868.00","1,270.00",12_27_2021
USLB,52.32,"1,905.00","1,946.10","1,881.50","1,935.00","1,927.92","4,962.00","1,908.00","9,566,344.70",137,27.00,64.60,1.42,3.43,0.37,"2,091.92","2,185.54","2,868.00","1,270.00",12_28_2021
USLB,56.72,"1,491.00","1,525.00","1,459.50","1,463.00","1,473.19","2,053.00","1,488.46","3,024,469.00",50,-25.46,65.50,-1.71,4.49,-0.70,"2,086.52","2,178.33","2,868.00","1,270.00",12_29_2021
USLB,37.38,"1,491.00","1,525.00","1,459.50","1,463.00","1,473.19","2,053.00","1,488.46","3,024,469.00",50,-25.46,65.50,-1.71,4.49,-0.70,"2,086.52","2,178.33","2,868.00","1,270.00",12_30_2021
USLB,37.38,"1,491.00","1,525.00","1,459.50","1,463.00","1,473.19","2,053.00","1,488.46","3,024,469.00",50,-25.46,65.50,-1.71,4.49,-0.70,"2,086.52","2,178.33","2,868.00","1,270.00",12_31_2021
USLB,37.38,"1,491.00","1,525.00","1,459.50","1,463.00","1,473.19","2,053.00","1,488.46","3,024,469.00",50,-25.46,65.50,-1.71,4.49,-0.70,"2,086.52","2,178.33","2,868.00","1,270.00",01_01_2022
USLB,38.92,"1,469.00","1,556.00","1,442.00","1,556.00","1,484.33","2,440.00","1,463.00","3,621,768.80",45,93.00,114.00,6.36,7.91,4.61,"2,081.67","2,171.81","2,868.00","1,291.00",01_02_2022
USLB,40.47,"1,587.00","1,587.00","1,534.40","1,534.40","1,562.57","1,096.00","1,556.00","1,712,574.90",34,-21.60,52.60,-1.39,3.43,-1.84,"2,076.29","2,167.07","2,868.00","1,291.00",01_03_2022
USLB,39.04,"1,548.00","1,559.00","1,531.10","1,559.00","1,547.74",330.00,"1,534.40","510,753.00",16,24.60,27.90,1.60,1.82,0.72,"2,071.23","2,162.51","2,868.00","1,291.00",01_04_2022
USLB,35.63,"1,530.20","1,549.00","1,507.10","1,549.00","1,529.82",890.00,"1,559.00","1,361,539.40",18,-10.00,41.90,-0.64,2.78,1.24,"2,065.97","2,158.02","2,868.00","1,291.00",01_05_2022
USLB,53.14,"1,565.00","1,577.00","1,544.00","1,569.00","1,566.49","2,088.00","1,549.00","3,270,824.00",28,20.00,33.00,1.29,2.14,0.16,"2,060.54","2,153.85","2,868.00","1,301.00",01_06_2022
USLB,56.06,"1,565.00","1,577.00","1,544.00","1,569.00","1,566.49","2,088.00","1,549.00","3,270,824.00",28,20.00,33.00,1.29,2.14,0.16,"2,060.54","2,153.85","2,868.00","1,301.00",01_07_2022
USLB,56.06,"1,565.00","1,577.00","1,544.00","1,569.00","1,566.49","2,088.00","1,549.00","3,270,824.00",28,20.00,33.00,1.29,2.14,0.16,"2,060.54","2,153.85","2,868.00","1,301.00",01_08_2022
USLB,56.53,"1,575.00","1,619.00","1,566.00","1,592.00","1,596.47","3,356.00","1,569.00","5,357,740.50",34,23.00,53.00,1.47,3.38,-0.28,"2,055.32","2,149.80","2,868.00","1,375.00",01_09_2022
USLB,60.83,"1,570.00","1,597.00","1,561.00","1,595.00","1,577.41","1,203.00","1,592.00","1,897,628.00",20,3.00,36.00,0.19,2.31,1.10,"2,050.31","2,145.64","2,868.00","1,375.00",01_10_2022
USLB,59.15,"1,595.00","1,660.00","1,590.00","1,660.00","1,624.39","3,064.00","1,595.00","4,977,137.50",62,65.00,70.00,4.08,4.40,2.15,"2,046.23","2,141.60","2,868.00","1,375.00",01_11_2022
USLB,66.07,"1,660.00","1,692.00","1,638.00","1,640.00","1,665.35","1,548.00","1,660.00","2,577,956.90",34,-20.00,54.00,-1.20,3.30,-1.55,"2,041.78","2,136.94","2,868.00","1,383.00",01_12_2022
USLB,61.27,"1,655.00","1,679.90","1,650.00","1,679.90","1,655.83",634.00,"1,640.00","1,049,797.00",23,39.90,29.90,2.43,1.81,1.43,"2,037.44","2,132.76","2,868.00","1,408.00",01_13_2022
USLB,60.29,"1,655.00","1,679.90","1,650.00","1,679.90","1,655.83",634.00,"1,640.00","1,049,797.00",23,39.90,29.90,2.43,1.81,1.43,"2,037.44","2,132.76","2,868.00","1,408.00",01_14_2022
