Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
VLBS,47.53,"1,704.00","1,740.00","1,701.00","1,725.00","1,722.96","2,659.00","1,713.00","4,581,342.90",54,12.00,39.00,0.70,2.29,0.12,"1,764.42","1,621.09","2,036.00",885.00,09_01_2021
VLBS,59.30,"1,713.00","1,750.00","1,690.00","1,750.00","1,726.07","5,306.00","1,680.00","9,158,523.50",58,70.00,60.00,4.17,3.55,1.37,"1,754.45","1,708.00","2,036.00",926.00,11_03_2021
VLBS,62.55,"1,713.00","1,750.00","1,690.00","1,750.00","1,726.07","5,306.00","1,680.00","9,158,523.50",58,70.00,60.00,4.17,3.55,1.37,"1,754.45","1,708.00","2,036.00",926.00,11_05_2021
VLBS,62.55,"1,713.00","1,750.00","1,690.00","1,750.00","1,726.07","5,306.00","1,680.00","9,158,523.50",58,70.00,60.00,4.17,3.55,1.37,"1,754.45","1,708.00","2,036.00",926.00,11_06_2021
VLBS,62.55,"1,713.00","1,750.00","1,690.00","1,750.00","1,726.07","5,306.00","1,680.00","9,158,523.50",58,70.00,60.00,4.17,3.55,1.37,"1,754.45","1,708.00","2,036.00",926.00,11_07_2021
VLBS,63.33,"1,716.00","1,716.00","1,684.00","1,685.00","1,695.47",665.00,"1,750.00","1,127,485.50",17,-65.00,32.00,-3.71,1.90,-0.62,"1,753.16","1,709.00","2,036.00",926.00,11_08_2021
VLBS,48.95,"1,667.00","1,668.00","1,602.00","1,621.00","1,629.59","5,599.00","1,685.00","9,124,097.80",61,-64.00,66.00,-3.80,4.12,-0.53,"1,751.42","1,709.04","2,036.00",926.00,11_09_2021
VLBS,50.46,"1,667.00","1,668.00","1,602.00","1,621.00","1,629.59","5,599.00","1,685.00","9,124,097.80",61,-64.00,66.00,-3.80,4.12,-0.53,"1,751.42","1,709.04","2,036.00",926.00,11_10_2021
VLBS,48.41,"1,590.00","1,672.00","1,589.00","1,626.00","1,635.42","4,620.00","1,621.00","7,555,660.00",59,5.00,83.00,0.31,5.22,-0.58,"1,749.47","1,709.29","2,036.00",926.00,11_11_2021
VLBS,48.06,"1,590.00","1,672.00","1,589.00","1,626.00","1,635.42","4,620.00","1,621.00","7,555,660.00",59,5.00,83.00,0.31,5.22,-0.58,"1,749.47","1,709.29","2,036.00",926.00,11_12_2021
VLBS,48.06,"1,590.00","1,672.00","1,589.00","1,626.00","1,635.42","4,620.00","1,621.00","7,555,660.00",59,5.00,83.00,0.31,5.22,-0.58,"1,749.47","1,709.29","2,036.00",926.00,11_13_2021
VLBS,46.01,"1,630.00","1,691.60","1,625.00","1,650.00","1,639.22","1,687.00","1,626.00","2,765,368.00",27,24.00,66.60,1.48,4.10,0.65,"1,747.41","1,709.87","2,036.00",926.00,11_14_2021
VLBS,42.40,"1,682.00","1,701.00","1,655.00","1,690.00","1,675.71","3,879.00","1,650.00","6,500,077.20",57,40.00,46.00,2.42,2.78,0.85,"1,745.90","1,710.66","2,036.00",926.00,11_15_2021
VLBS,55.25,"1,690.00","1,690.00","1,616.00","1,650.00","1,642.06","7,194.00","1,690.00","11,812,950.40",132,-40.00,74.00,-2.37,4.58,0.48,"1,744.09","1,711.54","2,036.00",926.00,11_16_2021
VLBS,65.99,"1,650.00","1,749.00","1,650.00","1,675.00","1,693.16","5,415.00","1,650.00","9,168,440.20",94,25.00,99.00,1.52,6.00,-1.08,"1,742.18","1,712.67","2,036.00",926.00,11_17_2021
VLBS,64.38,"1,680.00","1,680.00","1,630.00","1,630.00","1,650.87",597.00,"1,675.00","985,568.70",22,-45.00,50.00,-2.69,3.07,-1.28,"1,739.91","1,712.74","2,036.00",926.00,11_18_2021
VLBS,41.09,"1,680.00","1,680.00","1,630.00","1,630.00","1,650.87",597.00,"1,675.00","985,568.70",22,-45.00,50.00,-2.69,3.07,-1.28,"1,739.91","1,712.74","2,036.00",926.00,11_19_2021
VLBS,41.09,"1,680.00","1,680.00","1,630.00","1,630.00","1,650.87",597.00,"1,675.00","985,568.70",22,-45.00,50.00,-2.69,3.07,-1.28,"1,739.91","1,712.74","2,036.00",926.00,11_20_2021
VLBS,36.39,"1,613.00","1,613.00","1,603.00","1,603.00","1,605.90",580.00,"1,630.00","931,424.00",16,-27.00,10.00,-1.66,0.62,-0.18,"1,737.26","1,712.72","2,036.00",940.00,11_21_2021
VLBS,37.57,"1,591.00","1,610.00","1,590.00","1,595.30","1,598.44",922.00,"1,603.00","1,473,764.00",20,-7.70,20.00,-0.48,1.26,-0.20,"1,734.83","1,712.70","2,036.00",940.00,11_22_2021
VLBS,38.56,"1,578.30","1,582.10","1,546.80","1,546.80","1,554.21","3,589.00","1,595.30","5,578,048.70",47,-48.50,35.30,-3.04,2.28,-0.48,"1,731.93","1,712.57","2,036.00",940.00,11_23_2021
VLBS,43.88,"1,521.00","1,570.00","1,517.00","1,559.50","1,527.54",780.00,"1,546.80","1,191,484.50",21,12.70,53.00,0.82,3.49,2.05,"1,729.16","1,712.65","2,036.00",941.00,11_24_2021
VLBS,38.60,"1,559.00","1,559.00","1,541.00","1,541.00","1,549.35",742.00,"1,559.50","1,149,614.50",23,-18.50,18.00,-1.19,1.17,-0.54,"1,726.17","1,712.85","2,036.00",951.00,11_25_2021
VLBS,38.67,"1,559.00","1,559.00","1,541.00","1,541.00","1,549.35",742.00,"1,559.50","1,149,614.50",23,-18.50,18.00,-1.19,1.17,-0.54,"1,726.17","1,712.85","2,036.00",951.00,11_26_2021
VLBS,38.67,"1,559.00","1,559.00","1,541.00","1,541.00","1,549.35",742.00,"1,559.50","1,149,614.50",23,-18.50,18.00,-1.19,1.17,-0.54,"1,726.17","1,712.85","2,036.00",951.00,11_27_2021
VLBS,35.77,"1,511.00","1,511.00","1,470.00","1,472.00","1,484.11","3,271.00","1,541.00","4,854,526.70",68,-69.00,41.00,-4.48,2.79,-0.82,"1,722.83","1,712.47","2,036.00","1,008.00",11_28_2021
VLBS,41.61,"1,448.00","1,530.00","1,448.00","1,484.00","1,474.81","1,344.00","1,472.00","1,982,148.80",29,12.00,82.00,0.82,5.66,0.62,"1,720.07","1,712.24","2,036.00","1,008.00",11_29_2021
VLBS,40.82,"1,458.10","1,508.80","1,454.50","1,508.80","1,486.59","1,085.00","1,484.00","1,612,946.60",26,24.80,54.30,1.67,3.73,1.47,"1,717.64","1,712.40","2,036.00","1,008.00",11_30_2021
VLBS,42.69,"1,480.00","1,499.00","1,479.00","1,490.00","1,485.34",313.00,"1,508.80","464,910.00",8,-18.80,20.00,-1.25,1.35,0.31,"1,715.14","1,712.65","2,036.00","1,008.00",12_01_2021
VLBS,41.01,"1,470.00","1,480.00","1,460.30","1,460.30","1,464.57",909.00,"1,490.00","1,331,295.30",19,-29.70,19.70,-1.99,1.35,-0.29,"1,712.58","1,712.47","2,036.00","1,008.00",12_02_2021
VLBS,45.91,"1,470.00","1,480.00","1,460.30","1,460.30","1,464.57",909.00,"1,490.00","1,331,295.30",19,-29.70,19.70,-1.99,1.35,-0.29,"1,712.58","1,712.47","2,036.00","1,008.00",12_03_2021
VLBS,45.91,"1,470.00","1,480.00","1,460.30","1,460.30","1,464.57",909.00,"1,490.00","1,331,295.30",19,-29.70,19.70,-1.99,1.35,-0.29,"1,712.58","1,712.47","2,036.00","1,008.00",12_04_2021
VLBS,45.01,"1,459.90","1,460.00","1,400.00","1,404.10","1,417.45","1,540.00","1,460.30","2,182,870.90",30,-56.20,60.00,-3.85,4.29,-0.95,"1,709.33","1,712.17","2,036.00","1,008.00",12_05_2021
VLBS,42.32,"1,432.00","1,432.00","1,324.00","1,398.00","1,385.60","2,451.00","1,404.10","3,396,098.30",59,-6.10,108.00,-0.43,8.16,0.89,"1,705.92","1,711.93","2,036.00","1,008.00",12_06_2021
VLBS,43.36,"1,425.90","1,452.90","1,398.00","1,410.00","1,427.89",425.00,"1,398.00","606,852.90",20,12.00,54.90,0.86,3.93,-1.27,"1,702.71","1,711.49","2,036.00","1,008.00",12_07_2021
VLBS,37.23,"1,430.00","1,430.00","1,355.00","1,370.00","1,385.09",845.00,"1,410.00","1,170,400.00",23,-40.00,75.00,-2.84,5.54,-1.10,"1,699.22","1,710.99","2,036.00","1,008.00",12_08_2021
VLBS,36.52,"1,343.00","1,395.00","1,341.00","1,395.00","1,365.30",778.00,"1,370.00","1,062,205.20",27,25.00,54.00,1.82,4.03,2.13,"1,696.01","1,710.63","2,036.00","1,008.00",12_09_2021
VLBS,41.58,"1,343.00","1,395.00","1,341.00","1,395.00","1,365.30",778.00,"1,370.00","1,062,205.20",27,25.00,54.00,1.82,4.03,2.13,"1,696.01","1,710.63","2,036.00","1,008.00",12_10_2021
VLBS,41.58,"1,343.00","1,395.00","1,341.00","1,395.00","1,365.30",778.00,"1,370.00","1,062,205.20",27,25.00,54.00,1.82,4.03,2.13,"1,696.01","1,710.63","2,036.00","1,008.00",12_11_2021
VLBS,40.93,"1,400.00","1,400.00","1,339.80","1,339.80","1,349.45",467.00,"1,395.00","630,194.30",13,-55.20,60.20,-3.96,4.49,-0.72,"1,692.42","1,710.13","2,036.00","1,008.00",12_12_2021
VLBS,34.61,"1,314.00","1,314.00","1,262.00","1,275.00","1,276.91","2,765.00","1,339.80","3,530,646.90",40,-64.80,52.00,-4.84,4.12,-0.15,"1,688.28","1,709.57","2,036.00","1,008.00",12_13_2021
VLBS,39.10,"1,300.00","1,379.50","1,300.00","1,356.00","1,338.43",778.00,"1,275.00","1,041,297.10",18,81.00,79.50,6.35,6.12,1.30,"1,684.87","1,709.41","2,036.00","1,008.00",12_14_2021
VLBS,42.82,"1,350.00","1,399.30","1,345.00","1,370.00","1,367.50","1,541.00","1,356.00","2,107,312.00",33,14.00,54.30,1.03,4.04,0.18,"1,681.46","1,709.24","2,036.00","1,008.00",12_15_2021
VLBS,43.56,"1,350.00","1,350.00","1,320.00","1,320.00","1,329.28",451.00,"1,370.00","599,505.30",16,-50.00,30.00,-3.65,2.27,-0.70,"1,677.91","1,708.63","2,036.00","1,008.00",12_16_2021
VLBS,40.60,"1,350.00","1,350.00","1,320.00","1,320.00","1,329.28",451.00,"1,370.00","599,505.30",16,-50.00,30.00,-3.65,2.27,-0.70,"1,677.91","1,708.63","2,036.00","1,008.00",12_17_2021
VLBS,40.60,"1,350.00","1,350.00","1,320.00","1,320.00","1,329.28",451.00,"1,370.00","599,505.30",16,-50.00,30.00,-3.65,2.27,-0.70,"1,677.91","1,708.63","2,036.00","1,008.00",12_18_2021
VLBS,40.60,"1,350.00","1,350.00","1,320.00","1,320.00","1,329.28",451.00,"1,370.00","599,505.30",16,-50.00,30.00,-3.65,2.27,-0.70,"1,677.91","1,708.63","2,036.00","1,008.00",12_19_2021
