Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,Trade Date
WNLB,0.00,831.00,831.00,831.00,831.00,847.60,1.00,831.00,847.60,1,0.00,0.00,0.00,0.00,-2.00,-,-,831.00,831.00,01_19_2022
WNLB,60.29,847.60,914.10,847.60,914.10,885.56,65.00,831.00,"57,561.50",6,83.10,66.50,10.00,7.85,3.12,-,-,914.10,831.00,01_23_2022
WNLB,70.33,932.30,"1,005.50",932.30,"1,005.50",981.15,82.00,914.10,"80,454.40",11,91.40,73.20,10.00,7.85,2.42,-,-,"1,005.50",831.00,01_24_2022
WNLB,69.20,"1,025.60","1,106.00","1,025.60","1,106.00","1,073.92",70.00,"1,005.50","75,174.20",8,100.50,80.40,10.00,7.84,2.90,-,-,"1,106.00",831.00,01_25_2022
WNLB,65.87,"1,128.10","1,216.60","1,128.10","1,216.60","1,207.81",324.00,"1,106.00","391,331.00",10,110.60,88.50,10.00,7.85,0.72,-,-,"1,216.60",831.00,01_26_2022
WNLB,65.07,"1,240.90","1,338.20","1,240.90","1,338.20","1,316.72",111.00,"1,216.60","146,156.20",12,121.60,97.30,10.00,7.84,1.60,-,-,"1,338.20",831.00,01_27_2022
WNLB,61.86,"1,240.90","1,338.20","1,240.90","1,338.20","1,316.72",111.00,"1,216.60","146,156.20",12,121.60,97.30,10.00,7.84,1.60,-,-,"1,338.20",831.00,01_28_2022
WNLB,61.86,"1,240.90","1,338.20","1,240.90","1,338.20","1,316.72",111.00,"1,216.60","146,156.20",12,121.60,97.30,10.00,7.84,1.60,-,-,"1,338.20",831.00,01_29_2022
WNLB,63.06,"1,364.90","1,472.00","1,364.90","1,472.00","1,463.94",585.00,"1,338.20","856,407.00",24,133.80,107.10,10.00,7.85,0.55,-,-,"1,472.00",831.00,01_30_2022
WNLB,64.95,"1,501.40","1,619.20","1,501.40","1,619.20","1,612.82","8,304.00","1,472.00","13,392,838.90",267,147.20,117.80,10.00,7.85,0.39,-,-,"1,619.20",831.00,01_31_2022
WNLB,65.97,"1,651.50","1,781.10","1,651.50","1,781.10","1,779.85","4,057.00","1,619.20","7,220,856.40",111,161.90,129.60,10.00,7.85,0.07,-,-,"1,781.10",831.00,02_01_2022
WNLB,62.13,"1,651.50","1,781.10","1,651.50","1,781.10","1,779.85","4,057.00","1,619.20","7,220,856.40",111,161.90,129.60,10.00,7.85,0.07,-,-,"1,781.10",831.00,02_02_2022
WNLB,62.06,"1,816.70","1,959.20","1,816.70","1,959.20","1,956.86","2,373.00","1,781.10","4,643,638.40",105,178.10,142.50,10.00,7.84,0.12,-,-,"1,959.20",831.00,02_03_2022
WNLB,55.42,"1,816.70","1,959.20","1,816.70","1,959.20","1,956.86","2,373.00","1,781.10","4,643,638.40",105,178.10,142.50,10.00,7.84,0.12,-,-,"1,959.20",831.00,02_04_2022
WNLB,55.42,"1,816.70","1,959.20","1,816.70","1,959.20","1,956.86","2,373.00","1,781.10","4,643,638.40",105,178.10,142.50,10.00,7.84,0.12,-,-,"1,959.20",831.00,02_05_2022
WNLB,55.27,"1,998.30","2,090.00","1,763.30","1,763.30","1,879.93","20,169.00","1,959.20","37,916,227.20",773,-195.90,326.70,-10.00,18.53,-6.61,-,-,"2,090.00",831.00,02_06_2022
WNLB,57.08,"1,730.00","1,830.00","1,610.00","1,720.00","1,719.88","4,141.00","1,763.30","7,122,041.10",214,-43.30,220.00,-2.46,13.66,0.01,-,-,"2,090.00",831.00,02_07_2022
WNLB,48.37,"1,754.40","1,866.60","1,720.00","1,764.00","1,778.56","4,997.00","1,720.00","8,887,466.40",170,44.00,146.60,2.56,8.52,-0.83,-,-,"2,090.00",831.00,02_08_2022
WNLB,49.52,"1,750.00","1,750.00","1,706.00","1,710.00","1,722.86","1,866.00","1,764.00","3,214,863.90",86,-54.00,44.00,-3.06,2.58,-0.75,-,-,"2,090.00",831.00,02_09_2022
WNLB,46.77,"1,677.00","1,703.00","1,666.00","1,699.00","1,679.64","1,428.00","1,710.00","2,398,521.40",87,-11.00,37.00,-0.64,2.22,1.14,-,-,"2,090.00",831.00,02_10_2022
WNLB,45.20,"1,677.00","1,703.00","1,666.00","1,699.00","1,679.64","1,428.00","1,710.00","2,398,521.40",87,-11.00,37.00,-0.64,2.22,1.14,-,-,"2,090.00",831.00,02_11_2022
WNLB,45.20,"1,677.00","1,703.00","1,666.00","1,699.00","1,679.64","1,428.00","1,710.00","2,398,521.40",87,-11.00,37.00,-0.64,2.22,1.14,-,-,"2,090.00",831.00,02_12_2022
WNLB,42.59,"1,601.00","1,601.00","1,565.10","1,568.00","1,578.87","1,036.00","1,570.00","1,635,714.00",44,-2.00,35.90,-0.13,2.29,-0.69,-,-,"2,090.00",831.00,02_14_2022
WNLB,34.17,"1,568.00","1,600.00","1,562.00","1,580.00","1,575.53",817.00,"1,568.00","1,287,204.00",44,12.00,38.00,0.77,2.43,0.28,-,-,"2,090.00",831.00,02_15_2022
WNLB,38.82,"1,600.00","1,600.00","1,541.10","1,580.00","1,571.05",681.00,"1,580.00","1,069,884.00",28,0.00,58.90,0.00,3.82,0.57,-,-,"2,090.00",831.00,02_16_2022
WNLB,35.81,"1,556.00","1,580.00","1,550.00","1,564.00","1,565.36",681.00,"1,580.00","1,066,011.00",28,-16.00,30.00,-1.01,1.94,-0.09,-,-,"2,090.00",831.00,02_17_2022
WNLB,35.82,"1,556.00","1,580.00","1,550.00","1,564.00","1,565.36",681.00,"1,580.00","1,066,011.00",28,-16.00,30.00,-1.01,1.94,-0.09,-,-,"2,090.00",831.00,02_18_2022
